Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IZM2onaTBMRTEIcc5oIi9,"Hot N Cold","Hot N Cold","Katy Perry",2008-01-01,223226,54,false,111573307,2014-12-09T17:32:40Z,"pop","Capitol Records",0.702,0.838,7,-3.992,1,0.0439,0.0000798,0,0.072,0.855,132.007,4
spotify:track:6ZyNjT2hYvfV5PuW84dp1E,"1 Thing","Playlist: The Very Best Of Amerie","Amerie",2008,238746,55,false,111573307,2014-12-09T17:33:19Z,"","Columbia/Legacy",0.636,0.946,10,-4.683,0,0.332,0.115,0.0000375,0.0416,0.891,125.085,5
spotify:track:4DDzkbIwmJVAAo1yJmr5V1,"7 Days","Born To Do It","Craig David",2000-08-14,235213,1,false,111573307,2014-12-09T17:33:36Z,"","WM UK",0.622,0.823,4,-7.545,0,0.0512,0.216,0,0.0966,0.862,166.019,4
spotify:track:7L46BOT0qszScetf8bM1or,"10 Lil' Crips","Tha Blue Carpet Treatment","Snoop Dogg",2006-01-01,195093,0,true,111573307,2014-12-09T17:33:55Z,"g-funk,hip hop de la costa oeste,rap gangster,hip hop old school,hip hop,rap","Universal Music Group",0.761,0.87,4,-4.603,1,0.206,0.371,0,0.141,0.628,94.056,4
spotify:track:3Vr4AaUcphcIW8bJDHmj4N,"54-46 Was My Number","Repo Men","Toots & The Maytals",2010-05-31,190466,0,false,111573307,2014-12-09T17:34:01Z,"reggae,rocksteady,roots reggae,ska,dub,ragga","Silva Screen Records",0.698,0.457,7,-7.363,1,0.317,0.639,0.0000166,0.0645,0.389,157.566,4
spotify:track:3qxAm8VUS740NTGCvEcFpy,"A Dream","A Dream","Common;will.i.am",2007-01-01,218080,0,false,111573307,2014-12-09T17:34:18Z,"hip hop,jazz rap,neo soul","Hollywood Records",0.772,0.759,9,-7.261,0,0.284,0.245,0.0000697,0.106,0.625,103.042,4
spotify:track:2YHkp09tljbU2TXBYP80xu,"A Fifth of Beethoven - Rock Da Beat Mix","Instrumentals","Ludwig van Beethoven;DJ Daddy Ray Z",2008-04-23,199227,0,false,111573307,2014-12-09T17:34:31Z,"clásica,piano clásico,música de cámara,concerto","D-Verso",0.62,0.939,1,-4.192,1,0.0515,0.00178,0.00441,0.161,0.68,100.008,4
spotify:track:4fIWQFkuHHOcjQFKibUGSo,"Lead the way","Lead the way","Carlos Jean",2010-11-21,260880,38,false,111573307,2014-12-09T17:35:18Z,"chachachá","Novaemusik",0.691,0.722,11,-5.988,1,0.049,0.0252,0.00574,0.145,0.513,128.004,4
spotify:track:4LQ8EDq2ugRf5eZ0ib9D40,"Rise & Fall - feat. Sting","Greatest Hits (Standard DMD)","Craig David",2008-11-21,285906,0,false,111573307,2014-12-09T17:35:39Z,"","WM UK",0.633,0.627,9,-6.225,1,0.0482,0.285,0,0.665,0.789,84.008,4
spotify:track:5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So","Ray Charles (aka: Hallelujah, I Love Her So)","Ray Charles",1957-01-01,155506,67,false,111573307,2014-12-09T17:35:49Z,"soul,soul blues,soul clásico,vocal jazz,jazz","Rhino Atlantic",0.696,0.547,5,-5.954,0,0.169,0.792,0,0.155,0.623,73.203,4
spotify:track:3Cr8Os0nVRQbH0B4y7HFC4,"Please Stay","The Point Of It All","Anthony Hamilton",2008-12-16,302920,36,false,111573307,2014-12-09T17:35:56Z,"neo soul,r&b,quiet storm","So So Def",0.649,0.448,6,-5.522,1,0.0428,0.179,0,0.102,0.124,132.445,4
spotify:track:4VudDm3sB5hN1RcbI1LRJV,"Something That I Like","Transition (Deluxe Edition)","Ryan Leslie;Pusha T",2009-01-01,247600,0,false,111573307,2014-12-09T17:36:18Z,"","Universal Music",0.655,0.695,8,-3.212,0,0.229,0.308,0,0.328,0.685,94.936,4
spotify:track:19KlLuxA7AxvQpoQYx7zhG,"I Need A Dollar","I Need A Dollar 12""","Aloe Blacc",2010-02-11,244386,0,false,111573307,2014-12-09T17:36:31Z,"","Stones Throw Records",0.838,0.367,6,-11.833,0,0.0396,0.176,0,0.0861,0.961,95.508,4
spotify:track:3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)","Bad Boy's 10th Anniversary- The Hits","Diddy;Faith Evans;112",2004-03-09,301520,75,false,111573307,2014-12-09T17:36:39Z,"hip hop,hip hop de la costa este,r&b","Bad Boy Records",0.862,0.479,7,-9.199,1,0.0645,0.0523,0.00126,0.589,0.924,109.877,4
spotify:track:7C86DVl6REN8VPeGEMOf9q,"Get Busy","Dutty Rock","Sean Paul",2002-11-12,211666,3,false,111573307,2014-12-09T17:36:45Z,"dancehall","VP/Atlantic Records",0.735,0.824,10,-4.143,0,0.036,0.615,0,0.158,0.726,100.202,4
spotify:track:1rBCqUMWdZSTCnlj3q6MiI,"This Is Why I'm Hot","This Is Why I'm Hot (Explicit) [The Original]","MiMS",2007,253706,0,true,111573307,2014-12-09T17:36:51Z,"","Capitol Records",0.621,0.6,8,-6.349,1,0.576,0.277,0,0.495,0.485,80.021,4
spotify:track:0h87GbMRuU8ENP8LmdeA22,"At Last","Music From The Motion Picture Cadillac Records","Beyoncé",2008-11-28,180706,51,false,111573307,2014-12-09T17:38:50Z,"","Music World Music/Columbia",0.26,0.26,5,-10.669,1,0.0329,0.666,0.00447,0.175,0.318,172.655,3
spotify:track:1SVkLT20TPJ5u00cAS6iMN,"Hush","Ultimate R&B 2007","LL COOL J;7 Aurelius",2007-01-01,214600,15,false,111573307,2014-12-09T17:38:54Z,"hip hop old school,hip hop de la costa este","Universal Music Group International",0.711,0.723,11,-6.532,1,0.315,0.134,0,0.131,0.798,98.888,4
