Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4v20N4W83XDJORt7WCedII,"GLOWED UP","99.9%","KAYTRANADA;Anderson .Paak",2016-05-06,298026,52,true,111573307,2026-07-20T17:57:11Z,"","XL Recordings",0.678,0.62,1,-10.024,1,0.321,0.036,0.00557,0.138,0.433,135.553,4
spotify:track:38spM0LahLUfQhOMAqA7AI,"Be Your Girl (Kaytranada Edition)","Be Your Girl (Kaytranada Edition)","Teedra Moses;KAYTRANADA",2018-05-04,268087,2,false,111573307,2026-07-20T17:59:03Z,"","eOne Music Canada",0.864,0.682,6,-6.73,0,0.386,0.208,0.00000527,0.1,0.268,115.012,4
spotify:track:0H08fNRHqolQ0b6MPCk3B4,"Darlin","Darlin","Throttle;Tony Romera",2019-04-30,178080,0,false,111573307,2026-07-20T18:00:17Z,"future house,bass house,tech house,g-house","SANS MERCI x Dirty Disco Records",0.774,0.844,1,-4.027,1,0.125,0.0674,0.03,0.108,0.199,124.865,4
spotify:track:0dFdGPVLs3k0z9ezYWZzUa,"Intimidated (feat. H.E.R.)","Intimidated","KAYTRANADA;H.E.R.",2021-11-19,207830,77,false,111573307,2026-07-20T18:01:36Z,"r&b","KAYTRANADA/RCA Records",0.738,0.75,11,-3.654,0,0.219,0.0167,0.00976,0.174,0.342,112.009,4
spotify:track:1gEB5InUzgNLHPv8H34v54,"Wake Up, Get Down","Wake Up, Get Down","Cupidon;KALLITECHNIS;Ric Wilson",2021-04-09,259816,50,true,111573307,2026-07-20T18:02:51Z,"r&b indie","Sundae Sauuce",0.747,0.453,10,-10.563,0,0.429,0.372,0.000276,0.125,0.374,108.911,4
spotify:track:4FKuIlfFCIcvpg7M2HJhwx,"You & I","Intimate Fonk","Dabeull;HolyBrune",2019-06-18,208898,70,false,111573307,2026-07-20T18:02:57Z,"funk,nu disco","Dabeull Records",0.806,0.662,11,-6.265,0,0.0806,0.0322,0.0532,0.119,0.662,115.184,4
spotify:track:1c5CllrZr45UBhWpIqM332,"Funny Thing","It Is What It Is","Thundercat",2020-04-03,116630,76,false,111573307,2026-07-20T18:08:00Z,"","Brainfeeder",0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,3
spotify:track:5zuex7tbGFz0gSHlrMvQdu,"COULD BE WRONG","COULD BE WRONG","LOSTBOYJAY",2022-12-02,186046,77,false,111573307,2026-07-20T18:13:41Z,"house,rally house","Polydor Records",0.875,0.772,0,-8.472,1,0.111,0.0233,0.0016,0.316,0.826,129.024,4
spotify:track:4kdnniHBTCnzaYXrnsweSf,"Poison","Lekker Setje Beats","Klaus Veen",2020-07-09,191772,2,false,111573307,2026-07-20T18:15:37Z,"rally house,house","Klaus Veen Records",0.826,0.925,1,-6.441,1,0.254,0.0428,0.00621,0.0689,0.726,126.505,4
spotify:track:02oVra8RWdAYaKbdinrfRC,"EXCEPTIONAL","EXCEPTIONAL","veggi;DijahSB",2021-09-10,137739,48,false,111573307,2026-07-20T18:19:34Z,"hip house,jazz rap","Lowly",0.726,0.489,11,-9.344,0,0.484,0.301,0.0000172,0.263,0.447,115.195,4
spotify:track:4Tla2jt77nO70DgGwFejbK,"Run It Up","Run It Up","Snakehips;EARTHGANG",2021-06-11,178218,42,true,111573307,2026-07-20T18:22:25Z,"","Never Worry Records",0.838,0.793,2,-5.176,1,0.145,0.00621,0,0.0962,0.527,120.062,4
spotify:track:3Fc7k96EGOGiJBMZUxbpq7,"LITE SPOTS","99.9%","KAYTRANADA",2016-05-06,230920,53,false,111573307,2026-07-20T18:22:55Z,"","XL Recordings",0.884,0.549,1,-11.683,1,0.471,0.0346,0.0698,0.112,0.394,120.461,4
spotify:track:3cyw3MYxhpCSPMawfqdFNk,"Teen Scene (ft. Buddy)","Habits","Maeta;Buddy",2021-04-30,250362,49,true,111573307,2026-07-20T18:23:07Z,"r&b indie","Roc Nation Records LLC",0.335,0.744,11,-6.359,1,0.71,0.482,0,0.198,0.545,215.449,4
spotify:track:7dsImih2L25fa6qjNphBI7,"Turn off the Lights","Turn off the Lights","Chris Lake;Alexis Roberts",2018-02-23,210546,6,false,111573307,2026-07-20T18:51:38Z,"tech house,house,bass house","Black Book",0.825,0.745,11,-5.49,0,0.0754,0.0467,0.0000319,0.198,0.888,125.004,4
spotify:track:2BxpTbiPVty66AwYhTrKbt,"I Need You","I Need You","Yung Felix",2023-04-14,155076,43,false,111573307,2026-07-20T18:52:59Z,"moombahton","Spinnin' Records",0.884,0.793,2,-4.82,1,0.0802,0.105,0.238,0.0855,0.719,130.008,4
spotify:track:4qXjXZPGtVNhQq1z9QDRFn,"People Ain't Dancing (feat. Kah-Lo)","People Ain't Dancing (feat. Kah-Lo)","Billen Ted;Kah-Lo",2022-08-12,154859,55,false,111573307,2026-07-20T19:00:27Z,"","Black Butter",0.877,0.665,5,-6.597,0,0.191,0.0586,0.012,0.0685,0.786,125.017,4
spotify:track:0fOYe1mfPRzQ64zvMcqA59,"Show Me","Show Me","MPH",2023-09-22,208000,35,false,111573307,2026-07-20T19:03:34Z,"uk garage,bassline,bass house,rally house","MPH",0.732,0.654,10,-6.192,0,0.365,0.0594,0.056,0.31,0.24,135.021,4
spotify:track:1a8L9lybq0S0xXuYysElAL,"Keep This Fire Burning","Keep This Fire Burning","HOLA!",2020-12-04,146949,40,false,111573307,2026-07-20T19:03:49Z,"","Universal-Island Records Ltd.",0.726,0.827,8,-4.001,0,0.0506,0.0192,0.0000378,0.334,0.743,118.04,4
spotify:track:7cnS0EPwBnP9ZIdGOAOY7c,"Fake ID (Coke & Rum Remix)","Fake ID (Coke & Rum Remix)","Riton;Kah-Lo;GEE LEE",2022-12-15,126720,3,true,111573307,2026-07-20T19:07:42Z,"house,rally house","MNRK Music",0.861,0.484,9,-13.119,0,0.092,0.0107,0.00383,0.316,0.509,124.913,4
spotify:track:2PspwQLfDzLUOyaxQ7de5L,"Ecstasy - Mixed","Café Kitsuné Mixed by Fabich","Fabich;Jafunk;Pastel;Bambie",2020-08-07,139558,2,false,111573307,2026-07-20T19:10:20Z,"funky house,nu disco,r&b británico","Kitsuné Musique",0.686,0.7,4,-11.281,0,0.0663,0.206,0.0374,0.143,0.507,119.953,4
spotify:track:5CaUUACiQFEf4zR5WoeIrp,"If U Need It","If U Need It","Sammy Virji",2023-11-03,179999,72,false,111573307,2026-07-22T15:54:19Z,"uk garage,bassline,bass house,house","Capitol Records UK",0.842,0.705,10,-5.713,0,0.26,0.113,0.000324,0.0891,0.233,132.155,4
spotify:track:5GQ5hzIqzJBQQjeuBN5Hok,"SMSOU","Get Off The Internet","Eliminate;Frost Children",2024-02-02,228759,36,true,111573307,2026-07-26T17:10:03Z,"dubstep,riddim,bass music,deathstep,bass house,hyperpop,electroclash","Eliminate Music",0.879,0.917,7,-1.086,1,0.109,0.0541,0.00464,0.372,0.53,128.008,4
spotify:track:5KTZgG84bKFGm53lhLtTqc,"Mwaki","SURRENDER","Zerb;Sofiya Nzau",2023-10-27,208135,74,false,111573307,2026-07-26T17:12:10Z,"afro house","TH3RD BRAIN",0.847,0.637,7,-8.751,0,0.0587,0.201,0.201,0.121,0.0509,120.033,4
spotify:track:2Zb4O4K0ql4RWb5nxnV3zp,"On The Floor","On The Floor","HOLA!",2021-07-09,170476,0,false,111573307,2026-07-26T17:13:36Z,"","D4 D4NCE",0.819,0.952,11,-6.792,1,0.0574,0.000219,0.131,0.334,0.696,126,4
spotify:track:6NU1CJHi6W6gjdgmSlaQOy,"Nasty","Nasty","Garrett Lodge;Kxne",2023-03-03,128780,41,true,111573307,2026-07-26T17:16:22Z,"g-house,bass house,tech house","Lodge Records",0.961,0.534,11,-7.488,1,0.286,0.205,0.00000753,0.464,0.598,122.981,4
spotify:track:3kPehpAFW5keiaMoEWWKA2,"Nobody Else - A-Trak Remix","Nobody Else","Axwell",2019-05-03,190000,47,false,111573307,2026-07-26T17:28:35Z,"edm","Axtone Records",0.872,0.687,1,-5.689,1,0.0813,0.000316,0.0133,0.166,0.767,123.019,4
spotify:track:5H4FjJ2fDrnWxgZvgPgPkN,"Cola - ZHU Remix","Cola (ZHU Remix)","CamelPhat;Elderbrook;ZHU",2018-01-19,326444,0,false,111573307,2026-07-26T17:28:57Z,"techno melódico,house,house progresivo,house melódico,edm","Defected Records",0.865,0.547,1,-7.947,0,0.0617,0.0197,0.621,0.111,0.49,123.991,4
spotify:track:1qb5Uty8dhjbJUrHkTqttE,"Tukuntazo (Austin Millz Remix)","Tukuntazo (Austin Millz Remix)","Tokischa;Haraca Kiko;Austin Millz;El Cherry Scom;Leo RD",2022-07-29,204521,0,true,111573307,2026-07-26T17:29:46Z,"dembow,neoperreo","Paulus Music/Equity Distribution",0.894,0.909,10,-3.173,1,0.147,0.004,0.0419,0.0869,0.852,115.022,4
spotify:track:67zr6xdiSAhsuyvL2Dczc1,"Good Life (Remastered)","Good Life (Remastered)","Inner City;Kevin Saunderson;Dantiez",2017-08-24,196363,52,false,111573307,2026-07-26T17:30:01Z,"acid house,house de chicago,techno","KMS Records (BEAT Music Fund)",0.65,0.921,4,-3.711,0,0.0563,0.000943,0.619,0.0588,0.77,120.941,4
spotify:track:2dkSknVUCvRJ8OTayCMQN5,"Lit Up","Lit Up","Jean Tonique;DiRTY RADiO",2016-07-08,222109,0,false,111573307,2026-07-27T10:28:47Z,"nu disco,house francés,indie pop francés","Partyfine",0.801,0.674,1,-5.939,1,0.336,0.0628,0.00000362,0.0405,0.77,118.96,4
spotify:track:1w5HknXbhqJ1hlDKrIBooY,"In Your Arms","In Your Arms","Shift K3Y",2024-06-21,144000,55,false,111573307,2026-07-27T11:00:31Z,"","Selected.",0.837,0.732,1,-6.223,1,0.102,0.194,0.00875,0.0955,0.423,134.957,4
spotify:track:4uL8aMOboWSKK0CWsW5KyD,"Untouchable","Substance","MPH;Habstrakt",2025-10-03,234723,35,false,111573307,2026-07-27T11:03:24Z,"uk garage,bassline,bass house,rally house,g-house,dubstep","MPH",0.85,0.949,7,-3.924,1,0.266,0.134,0.252,0.904,0.311,136.038,4
spotify:track:2ck3poi9OAj25CcOWfr1QW,"Exquisite","Exquisite","Mindflip",2022-07-08,162782,26,true,111573307,2026-07-27T11:11:59Z,"rap quebequés","Mindflip",0.754,0.736,6,-4.731,0,0.188,0.133,0,0.0951,0.667,114.982,4
spotify:track:1KQB30IDcuG2cnNJh7UGH6,"The Vibe (feat. FUEG)","The Vibe (feat. FUEG)","Fresh Mode;FUEG",2019-09-06,163560,44,false,111573307,2026-08-01T09:17:06Z,"","Columbia Local",0.728,0.81,0,-6.946,1,0.305,0.449,0.0391,0.309,0.336,121.076,4
spotify:track:6811hk80cC232vvvIjToVm,"Pusherman","Pusherman","iNoah;Jarreau Vandal;Young Mauro;Yelli",2019-05-24,274964,28,true,111573307,2026-08-01T09:21:26Z,"","WETHEFUTURE",0.782,0.71,1,-8.361,1,0.45,0.353,0.00000665,0.123,0.625,116.045,4
spotify:track:20on25jryn53hWghthWWW3,"Do It To It","Do It To It","ACRAZE;Cherish",2021-08-20,157890,22,false,111573307,2026-08-01T09:22:40Z,"tech house","Thrive Music, LLC",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
spotify:track:3hxClh2IVEuBoGVaBXKwIj,"Ready or Not","Ready or Not","2groove;Disord3r",2014-06-19,305000,25,false,111573307,2026-08-01T09:23:19Z,"","Guesthouse Music",0.834,0.889,6,-3.62,1,0.121,0.0286,0.00607,0.085,0.743,126,4
spotify:track:0tZt1xxTFZ1z1aBnYQkmp2,"GO OFF (Nuthin' 2 It)","Magic Is Real","Dillon Francis",2019-11-15,172028,35,true,111573307,2026-08-01T09:23:38Z,"moombahton,edm","Mad Decent",0.881,0.581,2,-7.792,1,0.182,0.00197,0.00923,0.243,0.486,119.988,4
spotify:track:1T4U8Q2DRfs6OUg8DEsRZf,"Bad","Bad","Don Diablo;Zak Abel",2020-03-20,169910,58,true,111573307,2026-08-01T09:31:46Z,"future house,edm","Intercord",0.791,0.738,0,-5.197,1,0.0732,0.406,0.00826,0.159,0.666,123.927,4
spotify:track:4Pv7UF8K4Ja9PbnGVBFGA7,"E'z - Kyle Watson Remix","E'z","Black Loops;MAMA;Kyle Watson",2015-07-03,380975,25,false,111573307,2026-08-01T09:33:48Z,"lo-fi house,jazz house,tech house,bass house,house,g-house","Exposure Music",0.813,0.523,1,-9.922,1,0.0723,0.0239,0.157,0.227,0.556,124.002,4
spotify:track:3uEjeUfHl0dLFEMKKsJhml,"At Night - Dub","At Night","Ridney",2010-02-12,471386,0,false,111573307,2026-08-01T09:34:01Z,"funky house,disco house,nu disco","Defected Records",0.832,0.513,8,-9.127,0,0.93,0.121,0.136,0.987,0.69,124.98,4
spotify:track:0MT7RXj7XwkyvA0e05fgo6,"Professional Widow - Armand's Star Trunk Funkin' Mix; Radio Edit; 2016 Remaster","Boys for Pele (Deluxe Edition)","Tori Amos;Armand Van Helden",1996-01-22,229240,57,false,111573307,2026-08-01T09:34:30Z,"cantautores,art pop,disco house","Rhino Atlantic",0.708,0.912,7,-7.899,1,0.0369,0.00139,0.000861,0.455,0.621,128.051,4
spotify:track:4rT0nt6KQWhNNUXKIcOKgq,"What We Had","What We Had","NGTY;ALEV",2019-01-11,194754,44,false,111573307,2026-08-01T09:36:14Z,"future house","Future House Music",0.761,0.698,2,-8.105,0,0.0438,0.0497,0.028,0.151,0.382,122.003,4
spotify:track:5PNvgiKSwMdjBsDsgFCFLX,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Slow Down (feat. Jorja Smith) [Vintage Culture & Slow Motion Remix]","Maverick Sabre;Jorja Smith;Vintage Culture;Slow Motion",2020-04-03,181306,73,false,111573307,2026-08-01T09:37:31Z,"r&b británico,graves brasileños,electrónica,electro,g-house","Spinnin' Deep",0.881,0.661,11,-7.681,0,0.0343,0.098,0.0187,0.101,0.965,124.023,4
spotify:track:5AUlDwO6DJtMRYbSDT3WRu,"Wake Up and Move... Funky","Delicious Disco","Eddy Rosemond",2011-01-01,230736,0,false,111573307,2026-08-01T09:39:02Z,"disco","Musiques & Solutions",0.846,0.682,1,-7.668,1,0.21,0.00185,0.0000743,0.0414,0.816,129.308,4
