Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tzVSIgVtqfWNbQ63Imd5A,"Stop Wait","Stop Wait","ATMOS;Isometrik",2025-11-14,136389,19,false,111573307,2026-07-20T17:03:46Z,"drum and bass,bassline","Souped Up Records",0.707,0.979,10,0.272,0,0.262,0.155,0.0000122,0.0817,0.346,87.297,4
spotify:track:7cuOefq9vNVT3tDS2hRXPd,"No Way Out (feat. Mira Lu Kovacs)","No Way Out (feat. Mira Lu Kovacs)","Camo & Krooked;Mira Lu Kovacs",2022-09-28,245485,51,false,111573307,2026-07-20T17:58:32Z,"drum and bass,liquid funk,drumstep,dubstep","MODUS",0.429,0.901,7,-0.308,0,0.1,0.00536,0.542,0.0651,0.168,175.077,4
spotify:track:0VPtIe8j9wZMVTcYWURQGd,"Sientelo","Sientelo","Mefjus;Camo & Krooked",2021-08-31,290742,2,false,111573307,2026-07-20T19:09:19Z,"drum and bass,drumstep,liquid funk,dubstep","UKF",0.528,0.934,1,0.42,1,0.168,0.00308,0.00614,0.084,0.41,174.91,4
spotify:track:2EK2hR0X1XYrPnfLCgCIXl,"Come Around","Come Around","Subsonic;Flowidus",2022-08-05,228706,41,false,111573307,2026-07-20T19:11:56Z,"drum and bass,bassline,liquid funk","Elevate Records",0.473,0.961,5,-1.332,0,0.0815,0.0298,0.00439,0.154,0.285,174.015,4
spotify:track:28f5cHOahtA3JhbIBt9q9Y,"High Note","High Note","K Motionz;Emily Makis",2021-09-22,225862,60,false,111573307,2026-07-20T17:28:21Z,"drum and bass,liquid funk,bassline","UKF",0.537,0.977,5,-3.181,0,0.223,0.034,0.0000102,0.521,0.317,173.993,4
spotify:track:7ugaJNi3rhiiK9zKLd6l4j,"Out & About","Out & About","Amplify;P Money",2024-03-28,153600,42,false,111573307,2026-07-20T17:27:37Z,"drum and bass,bassline,grime,uk grime","DnB Allstars",0.441,0.932,10,-2.202,0,0.294,0.202,0.00000485,0.726,0.601,86.343,4
spotify:track:3MBh4HeKws0gRdOMEI0v0I,"Back Trackin","Back Trackin","K Motionz;Comma Dee",2023-01-26,212500,48,true,111573307,2026-07-20T18:11:25Z,"drum and bass,liquid funk,bassline","UKF",0.504,0.963,10,-2.493,0,0.297,0.0646,0.000835,0.242,0.445,86.723,4
spotify:track:5pDC2piYrsuSIeEqiciB7B,"No Warning (feat. Nathan Smoker)","No Warning (feat. Nathan Smoker)","James Hiraeth;Nathan Smoker",2023-11-17,171428,42,false,111573307,2026-07-20T19:01:50Z,"drum and bass","NUFORM",0.69,0.927,11,-2.321,1,0.194,0.0287,0.0163,0.135,0.372,87.555,4
spotify:track:03Q3XFAe0G6gMfRnQs2Koa,"Moment","Moment","Denver UK;Jess Robyn",2024-07-19,211957,28,false,111573307,2026-07-20T17:32:02Z,"drum and bass,liquid funk","Pure Filth Records",0.505,0.909,8,-3.029,0,0.136,0.00449,0.00068,0.135,0.305,173.957,4
spotify:track:4d3YMCc71ZHzK8ezddOxPt,"Trouble","Trouble","Murdock",2022-06-27,249942,0,false,111573307,2026-07-20T18:18:26Z,"drum and bass,liquid funk,drumstep","Rampage Recordings",0.509,0.982,11,0.198,1,0.0501,0.000258,0.303,0.0834,0.0395,174.968,4
