Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:589Nbxd25pvAknYacTvBpm,"Jiggy Woogie","Jiggy Woogie","Baby Lawd;DLegend",2023-10-20,139650,49,false,111573307,2026-07-20T17:57:46Z,"dancehall","Laneside Records",0.818,0.717,6,-5.815,1,0.326,0.283,0,0.0839,0.793,107.06,4
spotify:track:3QFInJAm9eyaho5vBzxInN,"family ties (with Kendrick Lamar)","The Melodic Blue","Baby Keem;Kendrick Lamar",2021-09-10,252262,81,true,111573307,2026-07-20T17:59:33Z,"hip hop,hip hop de la costa oeste","Columbia",0.711,0.611,1,-5.453,1,0.33,0.00588,0,0.23,0.144,134.093,4
spotify:track:1ubY35d8LtYvMHsgPo8pMc,"Energy","Energy","Digga",2023-03-09,176666,52,true,111573307,2026-07-20T18:05:19Z,"drill británico,drill,grime,uk grime,drill australiano","Black Money Records",0.76,0.494,7,-8.781,0,0.278,0.487,0,0.171,0.57,143.941,4
spotify:track:0EJBw9ykM7keaTwUety5sZ,"Bikini","Strandje Aan De Maas","Broederliefde;KM;Jayh",2022-10-27,181957,39,true,111573307,2026-07-20T18:06:13Z,"nederpop","Top Notch Music BV",0.527,0.764,10,-4.825,0,0.486,0.00618,0,0.0749,0.481,189.583,4
spotify:track:6clDsO8HwhHEgJDDp88VdL,"Two Tens (feat. Anderson .Paak)","Two Tens (feat. Anderson .Paak)","Cordae;Anderson .Paak",2023-01-25,152371,56,true,111573307,2026-07-20T18:11:38Z,"","Art@War/Atlantic Records",0.782,0.525,4,-7.626,0,0.376,0.218,0.00000356,0.0804,0.7,176.242,4
spotify:track:7x68OKWmVySSU51vSqHR5x,"Underrated","Underrated","Zoe Osama",2022-01-21,155466,0,true,111573307,2026-07-20T18:13:26Z,"","Zoe Osama , LLC / Tha New Cartel Records",0.956,0.617,1,-7.526,1,0.267,0.148,0,0.141,0.739,101.991,4
spotify:track:22nyEAEM29tcBRhukR089b,"Icon","SYRE","Jaden",2017-11-17,220995,63,true,111573307,2026-07-20T18:13:35Z,"","MSFTS/Roc Nation",0.786,0.82,9,-5.093,0,0.232,0.222,0,0.575,0.49,119.982,4
spotify:track:79s5XnCN4TJKTVMSmOx8Ep,"Dior","Meet The Woo","Pop Smoke",2019-07-26,216386,20,true,111573307,2026-07-20T18:15:02Z,"drill de brooklyn,drill neoyorquino,drill","Victor Victor Worldwide/Republic Records",0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,4
spotify:track:6mBexxOdKMkAqdpYdqZ4Q7,"Watching Me","Watching Me","TRiLLeR",2019-09-22,173500,0,true,111573307,2026-07-20T18:15:10Z,"freestyle","TRiLLeR",0.875,0.497,0,-9.15,1,0.274,0.0477,0.0923,0.122,0.588,100.065,4
spotify:track:7bYs6rdrNdpidWjJJtJMsm,"B-Day","B-Day","AQUIHAYAQUIHAY",2022-09-02,248000,0,true,111573307,2026-07-20T18:20:43Z,"r&b latino","WM Mexico",0.526,0.495,5,-9.086,0,0.28,0.0832,0.0000141,0.175,0.891,80.47,4
spotify:track:10U0rbctNl1DWEuCn1ETm6,"YSL","Anchor Baby","June Freedom;Elji Beatzkilla",2021-06-18,173714,64,false,111573307,2026-07-20T18:23:46Z,"afrobeats,kizomba,afrobeat,r&b afro,afropop,zouk","Flight Club Music Group",0.796,0.515,2,-7.295,0,0.212,0.115,0.00401,0.348,0.678,104.985,4
spotify:track:3ABG1UQTk0eLYUAeWkmfMi,"Shimmy Shimmy Ya","Return to the 36 Chambers: The Dirty Version","Ol' Dirty Bastard",1995,161400,69,true,111573307,2026-07-27T11:12:32Z,"hip hop de la costa este,hip hop old school,hardcore hip hop","Rhino/Elektra",0.814,0.481,0,-5.183,1,0.245,0.097,0.0000383,0.0495,0.193,96.252,4
spotify:track:628ec6YsT4CbfloxL2f6wd,"Come Correct","Come Correct","Blimes;Gifted Gab",2018-03-09,144014,30,true,111573307,2026-07-27T11:17:41Z,"","B.A.G.",0.533,0.777,9,-6.588,0,0.334,0.0164,0.00157,0.104,0.48,78.631,4
spotify:track:0NGZuOjpSjQA2eoFq7s6My,"Lurkin","Summer With Friends","DaniLeigh",2017-09-08,209240,0,false,111573307,2026-08-01T09:47:44Z,"r&b","Universal Music Group",0.922,0.581,11,-4.123,0,0.27,0.00645,0,0.224,0.608,139.998,4
spotify:track:0hvVDA7x9JyrxJuLFS2pyz,"Ms. Communication","Ms. Communication","Da-P;theMIND;Sun",2017-05-29,209460,26,false,111573307,2026-08-01T09:47:59Z,"","Da-P",0.696,0.377,2,-8.596,1,0.317,0.0706,0.0175,0.121,0.515,110.028,4
spotify:track:0h5m65o5KnMFB4Gq47mbKt,"Candy Shop","The Massacre (Ecopac Reissue Explicit)","50 Cent;Olivia",2005-03-03,208533,1,true,111573307,2026-08-01T10:37:10Z,"hip hop old school,hip hop de la costa este","Universal Music Ltd.",0.612,0.577,11,-8.01,1,0.458,0.0237,0.0000622,0.381,0.745,128.422,5
spotify:track:4sozsbVtlFDe74usgfDPOQ,"Studio","Oxymoron (Deluxe)","ScHoolboy Q;BJ The Chicago Kid",2014-01-01,278066,0,true,111573307,2026-08-04T18:23:37Z,"","Universal Music Group",0.708,0.596,8,-7.692,0,0.0412,0.0523,0,0.0555,0.588,133.955,3
spotify:track:3lq06iX09nUI5DH2014BWi,"Whisky and Spice","Whisky and Spice","Yeico X Toni",2020-03-23,188836,0,true,111573307,2026-08-04T18:34:17Z,"","1864055 Records DK2",0.941,0.573,2,-7.54,1,0.254,0.0406,0.0000359,0.0748,0.438,120.063,4
