Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7rpWDu9GPlLxbLorYKVys7,"Gbona","African Giant","Burna Boy",2019-07-25,187609,67,false,111573307,2021-08-19T19:47:35Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Spaceship/ Bad Habit/Atlantic Records",0.798,0.813,4,-5.869,0,0.162,0.564,0.000142,0.108,0.942,93.912,4
spotify:track:0SjQBdIddPvKSWxr8vk6QX,"Dumebi","Rema","Rema",2019-03-22,179775,69,false,111573307,2021-08-27T08:01:23Z,"afrobeats,afrobeat,afropop,afropiano","Mavin Records / Jonzing World",0.923,0.657,3,-5.173,0,0.0605,0.199,0.00407,0.108,0.734,110.015,4
spotify:track:2vajVHA2NB5qMBaPR9mNMn,"Tele","Blackstar","Kelvyn Boy;Crayon",2020-11-06,194400,0,false,111573307,2022-05-13T13:03:59Z,"afrobeats,hiplife,afrobeat,afropop,hip hop ghanés,azonto,afropiano,r&b afro","Crux Global / MOVES Recordings",0.848,0.743,1,-7.095,0,0.0804,0.362,0.0014,0.102,0.706,100.036,4
spotify:track:6hv6OLotJJdBTuoBlpsGPT,"Bum Bum (feat. OmartheDJ)","ZaZa Vibes","L.A.X;OmartheDJ",2020-11-25,146285,34,true,111573307,2022-05-13T13:04:56Z,"afrobeats,afrobeat,afropop,azonto,afropiano","Rasaki Music Ltd / EMPIRE",0.789,0.581,4,-6.848,0,0.184,0.378,0.00000157,0.0981,0.622,105.198,4
spotify:track:1pkNZFVhcshcvN5I6Nvb0q,"Beamer (Bad Boys)","Beamer (Bad Boys)","Rema;Rvssian",2020-02-20,195047,59,true,111573307,2022-05-13T13:09:12Z,"afrobeats,afrobeat,afropop,afropiano,trap latino,dancehall","Mavin Records / Jonzing World",0.657,0.645,10,-5.349,0,0.25,0.0581,0,0.337,0.452,129.369,3
spotify:track:4VJ1lumYKZpfOytM15dkE8,"Naija Pt. II","Naija Pt. II","Paxe",2019-10-20,190819,37,false,111573307,2022-05-13T13:09:57Z,"afroswing,afrobeats,afrobeat","Independent",0.542,0.723,9,-7.61,0,0.161,0.159,0.0000302,0.102,0.931,152.09,5
spotify:track:5PRU9ErsMVSRNzDeczXanb,"Saudi Arabia","Something Else","Mr Eazi",2021-02-19,119290,44,false,111573307,2022-05-13T13:10:30Z,"afrobeats,afrobeat,afropop,azonto,afroswing,hiplife,hip hop ghanés,dancehall","Banku Music Under Exclusive License to emPawa Africa Limited",0.815,0.565,1,-10.499,0,0.0902,0.213,0.000239,0.0952,0.705,103.955,4
spotify:track:439o6N0vgQUhUGkOjldYFV,"Starboy - Soco","Hot Afrobeats, Vol. 2","Eugy",2015-12-07,125297,39,false,111573307,2022-05-13T13:11:56Z,"afrobeats,afrobeat","AMC Worldwide Publishing",0.886,0.413,9,-13.433,0,0.201,0.33,0.000221,0.0945,0.895,107.991,4
spotify:track:34oqkvT1wcPJAgoC1Uhs2J,"Pito","Pito","Oluwa Kuwait;Blaq Jerzee",2020-07-24,185063,0,false,111573307,2022-11-01T09:10:32Z,"afrobeats,afrobeat,afropop,bongo flava","Kuwaitians Music",0.851,0.691,3,-5.754,0,0.0634,0.47,0.000152,0.0927,0.909,104.065,4
spotify:track:4Ze6RZUeaqKMYEvc65s0E3,"911","ADM (Afro Dance Music)","Krizbeatz;Yemi Alade;Harmonize",2017-11-29,256940,40,false,111573307,2022-05-13T13:19:00Z,"afrobeats,afrobeat,bongo flava,afropop,gengetone,azonto,bongo piano,singeli","Streets legend",0.718,0.816,2,-4.039,1,0.105,0.0963,0.00142,0.0783,0.454,96.035,4
spotify:track:50tFLjmKu1pftJONIbaljz,"Tetema (feat. Diamond Platnumz)","Sound from Africa","Rayvanny;Diamond Platnumz",2021-02-01,152608,53,false,111573307,2021-08-27T08:01:25Z,"bongo flava,bongo piano,singeli,afrobeats,afrobeat,afropop,amapiano,afropiano,ndombolo,rumba congoleña","Ziiki Media",0.847,0.84,6,-2.759,0,0.172,0.342,0.00161,0.0527,0.938,96.131,4
spotify:track:5ZtUYbUWhNYE0fi5lbIGIs,"Johnny","King of Queens","Yemi Alade",2014-10-02,236012,0,false,111573307,2021-08-27T08:04:55Z,"afrobeats,afrobeat,azonto,afropop","Effyzzie Music Group",0.84,0.842,5,-2.641,0,0.232,0.2,0.0000668,0.138,0.875,125.105,4
spotify:track:5odE6ttDuVxOebSaXsjTVz,"Soke","On A Spaceship","Burna Boy",2015-03-13,218866,0,false,111573307,2021-08-27T08:05:36Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Spaceship Entertainment",0.647,0.497,9,-11.174,1,0.104,0.599,0.00000586,0.102,0.883,203.868,4
spotify:track:6U9jxxdQ6TNzjshIpwWMTf,"Ma Lo","Sugarcane","Tiwa Savage;Wizkid;Spellz",2017-09-22,182857,3,false,111573307,2021-08-27T08:05:46Z,"afrobeats,afrobeat,afropop,azonto,afropiano,r&b afro,hiplife,afroswing","Mavin Records/ 323 Entertainment",0.788,0.721,11,-4.577,1,0.152,0.424,0.00000286,0.0897,0.653,105.23,4
spotify:track:4VzF5lEkBIlVNjCy3pa9u6,"Moral","Hard Work Pays Off","Broederliefde;William Araujo",2015-09-18,237602,36,true,111573307,2021-08-27T08:05:53Z,"kizomba,zouk,kompa","Top Notch Music BV",0.793,0.648,8,-7.343,1,0.113,0.148,0.00502,0.0952,0.712,122.163,4
spotify:track:3ddd0nUY2jZtPYzg0r0wTb,"Pana","Pana","Tekno",2016-12-20,242893,58,false,111573307,2021-08-27T08:06:04Z,"afrobeats,afrobeat,afropop,azonto,hiplife","Columbia",0.553,0.553,6,-6.818,0,0.305,0.305,0.0581,0.0715,0.664,72.949,3
spotify:track:4E1Ad6Vz3rLWQxA1aMq5eY,"Koffi Anan","Koffi Anan","Yemi Alade",2016-01-25,205008,0,false,111573307,2021-08-27T08:06:14Z,"afrobeats,afrobeat,azonto,afropop","Effyzzie Music Group",0.937,0.872,4,-1.43,0,0.133,0.265,0.000466,0.164,0.826,112.983,4
spotify:track:1qNz5rynw3I9LU8uQRETsO,"Iskaba","Iskaba","Wande Coal;DJ Tunez",2016-11-25,224680,0,false,111573307,2021-08-27T08:06:27Z,"afrobeats,afrobeat,afropop,azonto,afropiano,r&b afro,afroswing,alté,amapiano","Black Diamond Entertainment",0.814,0.764,0,-7.944,0,0.053,0.0794,0.0174,0.0696,0.899,125.026,4
spotify:track:0z0qRN3HNUCOG9y1R7umuD,"Do Like That","Do like That","Korede Bello",2016-09-12,213530,61,false,111573307,2021-08-27T08:06:49Z,"afrobeats,afrobeat,afropop,azonto","Mavin Records",0.835,0.366,5,-10.246,0,0.426,0.357,0,0.0793,0.659,114.044,4
spotify:track:1AVVencV5yF6KzISmmjUbg,"Ghana Bounce","What Happens in Lagos","Ajebutter22",2017-11-24,225384,44,true,111573307,2022-11-01T09:11:39Z,"alté,afrobeats,afrobeat,afropop,r&b afro,afroswing,azonto","Akitoye Balogun, under exclusive license to Jungle Entertainment Ventures",0.805,0.492,8,-9.283,1,0.236,0.351,0.00000565,0.111,0.647,94.046,4
spotify:track:2GPbBrmUIhJ4bZ4wTVFT9P,"Pas Je Op","Pas Je Op","Finest Sno;Afro Bros;Scarface;Young Kenna",2019-03-29,158253,14,true,111573307,2021-08-27T08:07:19Z,"moombahton,dancehall","Soundtraffic",0.707,0.79,2,-4.858,1,0.454,0.206,0.000447,0.0599,0.772,129.088,5
