Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3OHxPzfXTFwYzCZoZaade2,"Sweet You","No News Is Good News","Phonte",2018-03-02,267213,38,true,111573307,2026-07-20T17:56:45Z,"neo soul","The Foreign Exchange Music",0.711,0.435,11,-10.469,1,0.127,0.614,0.00000268,0.098,0.246,89.877,4
spotify:track:79UjqYt9MCLlBpzAvaKVJj,"In Love With You","Mama's Gun","Erykah Badu;Stephen Marley",2000-10-31,321000,58,false,111573307,2026-07-20T17:58:41Z,"neo soul,r&b,reggae,roots reggae,ragga","Motown (Kedar)",0.736,0.268,9,-12.873,0,0.0639,0.581,0,0.163,0.65,132.525,4
spotify:track:0tNuJpBgtE65diL6Q8Q7fI,"On & On","Baduizm","Erykah Badu",1997-01-01,226133,72,true,111573307,2026-07-20T17:58:52Z,"neo soul,r&b","Universal Records",0.761,0.403,11,-10.424,0,0.158,0.0392,0.0113,0.256,0.346,80.476,4
spotify:track:1QIIQ1B2syNBSvQULkXgTa,"Traingazing","Traingazing","Sam Wills;Honey Mooncie",2020-03-04,214159,0,false,111573307,2026-07-20T17:59:15Z,"","eOne Music UK",0.849,0.361,11,-10.057,1,0.0641,0.692,0.00673,0.14,0.553,137.539,4
spotify:track:3MtMrpbmkxCWsMD2AL8P6q,"You Are","You Are","Charlie Wilson",2010-10-08,249920,43,false,111573307,2026-07-20T18:01:50Z,"drill sexy","Jive",0.588,0.812,5,-3.938,0,0.0516,0.0716,0,0.144,0.236,132.017,3
spotify:track:7ao0Xvdk7izp68CWlUzneN,"Nite & Day","Sensuous Smooth Jazz Guitar","Ronny Jordan",2006-05-30,252040,0,false,111573307,2026-07-20T18:02:06Z,"acid jazz,smooth jazz,jazz funk,nu jazz,jazz,jazz fusión","Shanachie Entertainment- OLD",0.783,0.457,9,-8.416,1,0.0423,0.114,0.688,0.114,0.452,91.983,4
spotify:track:0ncC7da4OXfIAmepjPX0g0,"Sometimes (Remix)","Jay Deelicious 95-98: The Delicious Vinyl Years","J Dilla;The Brand New Heavies",2007-08-07,251840,0,false,111573307,2026-07-20T18:02:19Z,"plunderphonics,hip hop alternativo,jazz rap,acid jazz,jazz funk,funk","Delicious Vinyl",0.917,0.424,2,-6.227,1,0.301,0.0861,0,0.154,0.385,96.642,4
spotify:track:0nSuEPNs1vV6d57TWiTWOu,"Magical","Magical","Texjam;Meceno",2023-03-17,203999,23,false,111573307,2026-07-20T18:06:28Z,"","Texjam",0.786,0.247,6,-12.561,1,0.104,0.611,0.0485,0.119,0.548,119.99,3
spotify:track:6lqS8VgQfacxDBj6WPvPlG,"crazy","crazy","DearQuinton",2023-02-14,223045,3,false,111573307,2026-07-20T18:07:39Z,"","2023 DearQuinton",0.6,0.544,1,-6.05,0,0.111,0.42,0.00000408,0.202,0.786,77.013,4
spotify:track:0z5yLgBmAtaylDYrgwzlpH,"Amapolas","Amapolas","Leo Rizzi",2021-07-09,205716,74,false,111573307,2026-07-20T18:07:49Z,"","WM Spain",0.784,0.689,4,-8.216,0,0.0385,0.759,0.00536,0.143,0.332,124.025,4
spotify:track:2BHj31ufdEqVK5CkYDp9mA,"Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,14,false,111573307,2026-07-20T18:14:25Z,"city pop,j-pop","PONY CANYON INC.",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
