Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:10THaSSeGVwv8J7zBmS5bj,"Tú Me Amas (with Ketama) - Sabor Locura","Mirame","Ana Belén;Ketama",1997-04-25,265133,21,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T18:58:13Z,"trova,nueva trova,cantautores,bolero,flamenco,flamenco pop","Ariola",0.767,0.923,5,-7.353,1,0.0657,0.304,0.00000123,0.0427,0.736,100.337,4
spotify:track:1l2OY5OYPVrEd5XYDM1ZNm,"Aquellas Pequeñas Cosas","Veinte Pa Ketama (Grandes Exitos)","Ketama",2004-01-01,176093,26,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T18:58:34Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.602,0.427,9,-10.557,1,0.037,0.798,0.00000469,0.0957,0.328,153.408,4
spotify:track:38J63ZZpvzDfyl9xnapzVW,"Vente Pá Madrid","De Aki A Ketama","Ketama",1995-01-01,287866,38,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T18:59:38Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.6,0.909,9,-5.906,0,0.085,0.532,0.000024,0.8,0.651,102.836,4
spotify:track:5E88YH9e6qXtFCNOBWuwoO,"Espiritu Kañi","Konfusion","Ketama",1997-01-01,222160,7,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:00:11Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.676,0.801,7,-9.698,1,0.0506,0.314,0.00153,0.0621,0.775,100.177,3
spotify:track:6rev2sWqdxWpjp9CbUWZiv,"Problema","De Aki A Ketama","Ketama",1995-01-01,261506,21,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:00:43Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.75,0.565,1,-8.067,0,0.0314,0.724,0.000016,0.707,0.577,118.9,4
spotify:track:1XeefEIgHpPAKT1vN8hrTJ,"Pozo del Deseo","Songhai, Vol. 2","Ketama;Toumani Diabaté;Jose Soto",1994-05-23,314933,12,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:01:49Z,"flamenco,flamenco pop","Nuevos Medios S. A.",0.417,0.27,2,-16.491,1,0.0367,0.858,0.0376,0.114,0.354,167.064,3
spotify:track:1RIwbR2FlqiWLr3tFp9w1W,"Se Dejaba Llevar Por Ti","De Aki A Ketama","Ketama;Antonio Vega",1995-01-01,258466,51,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:02:09Z,"flamenco,flamenco pop,cantautores","Universal Music Spain S.L.",0.649,0.6,9,-9.525,1,0.0328,0.426,0.00000567,0.639,0.4,129.837,4
spotify:track:6o0Eg78VTpVRJJjjdJKEbr,"Tu Volverás","Pa Gente Con Alma","Ketama",1991-01-01,224906,21,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:02:28Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.743,0.643,11,-10.595,1,0.0628,0.679,0.00041,0.551,0.796,106.107,4
spotify:track:1qcdMn1nSh8JAMumlBsxJJ,"El Oasis De Los Dioses","Konfusion","Ketama;Khaled",1997-01-01,235386,9,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:03:01Z,"flamenco,flamenco pop,raï","Universal Music Spain S.L.",0.665,0.892,10,-7.05,0,0.0593,0.352,0.000048,0.139,0.721,112.255,4
spotify:track:1rmohDguwVqYhjcnKZ2BzO,"La ola (feat. Antonio Carmona)","Inma Serrano","Inma Serrano;Antonio Carmona",1994-12-30,220160,3,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:03:45Z,"flamenco,flamenco pop","DRO/EastWest Spain",0.608,0.826,4,-4.398,0,0.0396,0.45,0,0.329,0.377,92.019,4
spotify:track:1g9D4apsXgrpsakoVUmYBN,"Michelle","Veloz Hacia Su Sino","Jorge Pardo;Josemi Carmona",1993-06-20,221666,3,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:04:19Z,"flamenco,jazz latino","Nuevos Medios S. A.",0.49,0.162,2,-15.272,0,0.0452,0.886,0.894,0.0899,0.264,138.247,4
spotify:track:67LcBK5oMCAJKLBnKvRdMK,"De Repente","Karma","Aurora;Antonio Carmona",1988,248800,9,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:05:43Z,"flamenco,flamenco pop","Nuevos Medios S. A.",0.692,0.788,4,-7.2,1,0.03,0.289,0,0.091,0.863,110.579,4
spotify:track:1bg9EXfcGzKDHtQlKC75O5,"Habichuela en Rama","Habichuela en Rama","Pepe Habichuela;Josemi Carmona",1997-01-31,283026,26,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:06:18Z,"flamenco","Nuevos Medios S. A.",0.624,0.461,6,-16.797,0,0.0586,0.17,0.00542,0.151,0.713,118.094,3
spotify:track:2XNsBIgCyRd6GxY7jmqUxx,"Tú Volverás","Veinte Pa Ketama (Grandes Exitos)","Ketama;Michael Camilo",2004-01-01,224653,4,false,mcoj6ryvy542w7ajx08rkx9ze,2023-04-09T19:06:53Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.706,0.862,4,-4.26,1,0.0874,0.713,0.00478,0.646,0.755,106.066,4
