Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MSgVHt9pS3z20DNtBonCc,"Sexy Nana","Destinée Supremacy","Aya Nakamura;La Rvfleuze",2026-05-30,156254,77,false,,2026-08-13T16:41:06Z,"r&b francés,pop urbaine,rap francés","Nakamura Industrie",0.81,0.71,5,-5.525,1,0.146,0.019,0,0.108,0.636,147.983,4
spotify:track:2qfAnCOsLPFs8zOQc2pNKI,"Pilé","L'undertaker, Pt. 1","Mauvais djo",2025-08-15,156076,84,false,,2026-08-13T16:41:06Z,"shatta","Nojoke record",0.685,0.546,1,-12.531,1,0.0431,0.000992,0.0566,0.111,0.652,130.016,4
spotify:track:2n4L2a5xgpJmPdLzDl3mE6,"Maladie","Maladie","Mauvais djo",2026-03-20,192000,89,false,,2026-08-13T16:41:06Z,"shatta","Nojoke records",0.648,0.539,1,-10.425,1,0.0684,0.038,0.000196,0.181,0.587,130.126,4
spotify:track:0kosUz0jePvjiz4ctmR6wL,"Dai Dai","Dai Dai","Shakira;Burna Boy",2026-05-14,223448,100,false,,2026-08-13T16:41:06Z,"pop latino,afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Sony Music Latin",0.864,0.596,1,-6.086,0,0.055,0.139,0.00637,0.284,0.631,116.033,4
spotify:track:1jSRu1IRoB6DPKsWTVGzTB,"Pineapple","Pineapple","Leto",2026-04-10,160487,81,true,,2026-08-13T16:41:06Z,"rap francés,shatta","Winterfell music",0.584,0.574,1,-9.296,1,0.319,0.411,0,0.0972,0.651,93.294,3
spotify:track:6P0oYDUPYf2CNJxcokIH09,"Pocahontas","Grand Garçon","PLK",2026-03-12,168546,82,true,,2026-08-13T16:41:06Z,"rap francés,pop urbaine","Panenka Music",0.664,0.718,9,-7.127,0,0.349,0.459,0,0.102,0.656,123.704,4
spotify:track:4oJxjHkaEq07v25iTcDIxT,"RENÉ CAOVILLA","RENÉ CAOVILLA","Gambi",2026-04-03,137973,81,true,,2026-08-13T16:41:06Z,"rap francés","SELF MADE RECORDS / REC.118",0.753,0.838,11,-4.238,1,0.146,0.261,0,0.268,0.747,96.001,3
spotify:track:2m0OFkYLkK2SysSwje4xAd,"Séminaire","Sarah B.","Bello&Dallas",2026-06-05,153061,79,true,,2026-08-13T16:41:06Z,"rap francés","Gabos Entertainment / La Triade / Rec. 118",0.734,0.773,10,-5.601,0,0.285,0.169,0,0.106,0.682,128.095,4
spotify:track:55vPnuXfuzXNW75JpuSczF,"melodrama","on s'en rappellera pas","disiz;Theodora",2025-11-21,176213,74,false,,2026-08-13T16:41:06Z,"rap francés,shatta","Carré Bleu Production",0.688,0.688,8,-5.216,1,0.071,0.109,0,0.174,0.668,153.92,4
spotify:track:2FGUvuu07YxBUcK4fQ0nom,"La pétasse","Destinée Supremacy","Aya Nakamura",2026-05-30,150511,73,false,,2026-08-13T16:41:06Z,"r&b francés,pop urbaine","Nakamura Industrie",0.553,0.541,11,-6.765,0,0.272,0.379,0,0.213,0.571,84.748,4
