Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:57f0ili5EzdZlEaSKcEg8p,"Tu Silueta","Tu Silueta","Diegote",2024-07-12,170480,61,false,,1970-01-01T00:00:00Z,"","DALE PLAY Records",0.718,0.769,8,-3.921,1,0.246,0.11,0,0.0778,0.543,103.903,4
spotify:track:2wzrkGLKgMbkRYRw8bo0HX,"PROTOCOLE - A COLORS SHOW","PROTOCOLE - A COLORS SHOW","Kalash",2023-11-16,177791,45,true,,1970-01-01T00:00:00Z,"shatta,rap francés,dancehall,zouk,pop urbaine,kompa","COLORSxSTUDIOS",0.75,0.531,7,-6.934,1,0.519,0.192,0.0000215,0.104,0.558,63.913,5
spotify:track:2KawAult7tPAzyLPmCxsNq,"CHULA","CHULA","Puri;CARO CAXI",2024-11-22,153606,41,false,,1970-01-01T00:00:00Z,"moombahton","Gillionaires",0.93,0.679,11,-4.24,0,0.233,0.0683,0.00373,0.258,0.657,99.971,4
spotify:track:2jfsQUFnAIkneppH2W0NCY,"Double tranchant","Balle d'argent (Réédition)","ABSOLEM",2023,143226,0,true,,1970-01-01T00:00:00Z,"rap francés","ABSOLEM",0.638,0.366,11,-9.535,0,0.334,0.346,0.000196,0.0734,0.718,103.721,4
spotify:track:62F1BVNG6gHWEa08QbH5uU,"Drugs In My System","Drugs In My System","JOXION;Ariel Hill",2025-06-27,133874,47,false,,1970-01-01T00:00:00Z,"bass house,uk garage,hipertechno","JOXION under exclusive license to Hallwood",0.699,0.917,1,-5.013,1,0.276,0.0366,0.00189,0.0763,0.308,160.055,4
spotify:track:1twLPTEXlqjlxzwZyedMiz,"Superman Sin Capa","Superman Sin Capa","El Super Nuevo",2016-05-22,230280,64,true,,1970-01-01T00:00:00Z,"dembow","Duetti",0.652,0.899,4,-1.76,0,0.238,0.0779,0.0000162,0.163,0.538,230.07,4
spotify:track:1GZZELGFwWsi2oLE1v1eyQ,"Por el Momento (feat. Plan B)","Fénix","Nicky Jam;Plan B",2017-01-20,218306,71,false,,1970-01-01T00:00:00Z,"reggaetón,latina","Sony Music Latin",0.735,0.811,2,-4.635,0,0.0666,0.475,0,0.0595,0.6,169.851,4
spotify:track:10uVUnuAyMKlRxrePw5Ykn,"Dime Tú Si Soy Yo","Dime Tú Si Soy Yo","Diegote;Kilvertz",2025-07-10,142368,32,false,,1970-01-01T00:00:00Z,"drill","DALE PLAY Records",0.586,0.56,6,-9.482,0,0.298,0.0929,0.00000115,0.0761,0.563,105.257,4
spotify:track:7G9jEWfPpmjjYIfZ3leYMt,"Fumando Vamos a Casa","Sanazion","Zona Ganjah",2007-12-19,222253,0,false,,1970-01-01T00:00:00Z,"reggae en español,reggae,roots reggae","Comunicando Consciencia Records",0.844,0.74,6,-5.054,1,0.331,0.335,0,0.271,0.871,125.537,4
spotify:track:6q8GWj1qGBieT4fDcLV1Mo,"PRADA's BIRTHDAY - A COLORS SHOW","PRADA’S BIRTHDAY - A COLORS SHOW","Tayc",2023-07-10,194641,32,false,,1970-01-01T00:00:00Z,"r&b francés,pop urbaine,afrobeats,afrobeat","COLORSxSTUDIOS",0.572,0.53,5,-10.824,1,0.347,0.487,0.000802,0.097,0.597,75.568,4
