Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ohJuvtlKjKKaimEcvWfh1,"Baby Did A Bad Bad Thing - Remastered","Best Of Chris Isaak","Chris Isaak",2006-05-05,176000,40,false,111573307,2013-06-06T09:47:31Z,"","Wicked Game/Reprise",0.58,0.604,2,-6.904,1,0.09,0.389,0.00051,0.111,0.556,152.532,4
spotify:track:3vZJ16ifle5iNXv41Xnwk1,"I'm Prison Bound","Blues In Transition 1955-59","John Lee Hooker",2010,240546,0,false,111573307,2013-06-06T09:48:39Z,"classic blues,blues,blues rock,country blues,soul blues","Jasmine Records",0.705,0.0339,8,-22.984,1,0.267,0.863,0.000318,0.137,0.464,80.673,4
spotify:track:0FMhMAFPLg8EljnROSoVnj,"La Grange - 1999 Remaster","Rancho Texicano: The Very Best of ZZ Top","ZZ Top",2004-06-08,232533,2,false,111573307,2013-06-06T09:49:37Z,"rock sureño,rock clásico,blues rock,rock","Rhino/Warner Records",0.552,0.651,4,-10.624,0,0.229,0.00494,0.0349,0.132,0.533,161.548,4
spotify:track:5nuEDAhgsLLEHkGHsB1sHv,"Refrigerator Car","Pocket Full Of Kryptonite (Anniversary Edition)","Spin Doctors",1991,285173,26,false,111573307,2013-06-06T09:50:08Z,"","Epic/Legacy",0.303,0.932,9,-10.096,1,0.0415,0.00122,0.00277,0.0613,0.584,108.659,4
spotify:track:6NwbeybX6TDtXlpXvnUOZC,"Master Of Puppets","Master Of Puppets","Metallica",1986-03-03,516293,5,false,111573307,2013-06-06T09:50:12Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.538,0.872,4,-7.658,0,0.0361,0.000608,0.573,0.0946,0.593,105.102,4
spotify:track:13X42np3KJr0o2LkK1MG76,"My Love","FutureSex/LoveSounds","Justin Timberlake;T.I.",2006-09-12,276160,0,false,111573307,2013-06-06T09:50:18Z,"hip hop sureño americano","Jive",0.771,0.676,4,-6.018,0,0.223,0.285,0.00000449,0.546,0.804,119.997,4
spotify:track:1E3BZjG5SDMy0dYANdbc3u,"Get Up Offa That Thing","James Brown Vol 2. - Universal Masters","James Brown",2003-02-27,251066,0,false,111573307,2013-06-06T09:50:45Z,"funk,soul,motown,soul clásico","Universal Music Ltd.",0.852,0.682,2,-10.041,1,0.404,0.181,0,0.934,0.763,117.959,4
spotify:track:4HuHoYjNcbGIHFpRVbRj2T,"Pump It","Pump It","Black Eyed Peas",2005-01-01,213613,47,true,111573307,2013-06-06T10:19:10Z,"","A&M",0.647,0.925,9,-3.157,1,0.176,0.00949,0,0.564,0.753,153.669,4
spotify:track:0nFqtZjnDxfUqUI7CIkk3d,"Just a Thought","St. Elsewhere","Gnarls Barkley;CeeLo Green;Danger Mouse",2007-12-01,222759,36,false,111573307,2013-06-06T10:19:16Z,"","WM UK",0.56,0.96,11,-5.156,0,0.119,0.0604,0.000217,0.133,0.309,101.037,4
spotify:track:73md2HUfGHQh1H5c2C2XA1,"Only U - No Intro","Only U / Turn It Up","Ashanti",2004-01-01,186506,39,false,111573307,2013-06-06T10:19:43Z,"r&b","I.G. Records, Inc./Universal Records",0.601,0.605,6,-5.569,0,0.0399,0.036,0.00000351,0.125,0.291,94.456,4
spotify:track:6Gx2Q9psqwMyEVLXSQXd1K,"Take Control","Work It Out!","Amerie",2010-12-17,221413,0,false,111573307,2013-06-06T10:19:48Z,"","Sony Music UK",0.634,0.865,11,-7.617,0,0.38,0.169,0.0000384,0.0719,0.725,99.255,4
spotify:track:269TXy0nskEBvKXXAaK6tR,"Hits from the Bong","Playlist: The Very Best Of Cypress Hill","Cypress Hill",2008-06-17,161213,0,true,111573307,2013-06-06T10:20:08Z,"hip hop de la costa oeste,hip hop old school,rap rock,hip hop","Columbia/Legacy",0.804,0.594,1,-12.676,1,0.192,0.00776,0.79,0.344,0.514,92.18,4
