Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,86,false,111573307,2023-03-21T21:24:27Z,"nu metal,metal,metal alternativo,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:4BOOsIe7Zx3SKJAEXgt1YH,"Township Rebellion","Rage Against The Machine - XX (20th Anniversary Special Edition)","Rage Against The Machine",1992,324080,49,true,111573307,2023-03-21T21:28:08Z,"rap metal,rap rock,metal alternativo,nu metal","Epic/Legacy",0.542,0.704,2,-5.166,1,0.0511,0.00863,0.00285,0.113,0.44,134.068,4
spotify:track:07bEZWP1PqS5jCR0iiz1zt,"In Bloom - Nevermind Version","Nirvana (International Version)","Nirvana",2002-01-01,253440,0,false,111573307,2023-03-21T21:38:28Z,"grunge,rock","Universal Music Group",0.438,0.851,10,-5.802,0,0.0505,0.0000267,0.000136,0.301,0.592,157.088,4
spotify:track:4ImIJRZNJhNQLLdUFSYJoS,"Down with the Sickness","The Sickness (10th Anniversary Edition)","Disturbed",2010-03-22,278706,65,true,111573307,2023-03-21T22:06:31Z,"metal,nu metal,metal alternativo,rap metal,hard rock","Reprise",0.649,0.896,10,-2.704,0,0.056,0.000319,0.0000119,0.102,0.924,90.009,4
spotify:track:3R9NKZ4jmxNjOFihSF5s7f,"Hit the Floor","Meteora","Linkin Park",2003-03-25,164213,60,false,111573307,2023-03-21T22:14:13Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.74,0.96,9,-3.692,1,0.193,0.063,0,0.0444,0.868,150.006,4
spotify:track:6n8TMVyFKoUmDc4apxceRD,"Breaking the Habit","Meteora","Linkin Park",2003-03-25,196133,74,false,111573307,2023-03-21T22:14:16Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.58,0.865,4,-4.359,0,0.0313,0.105,0,0.106,0.587,100.016,4
spotify:track:2DrMcGNKEY0FZqjMovGaCm,"Figure.09","Meteora","Linkin Park",2003-03-25,197506,62,false,111573307,2023-03-21T22:14:36Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.499,0.95,9,-3.198,1,0.0639,0.00903,0,0.148,0.53,98.019,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,"Faint","Meteora","Linkin Park",2003-03-25,162106,88,false,111573307,2023-03-21T22:14:38Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:0faXHILILebCGnJBPU6KJJ,"The Diary of Jane - Single Version","Phobia (Clean Version)","Breaking Benjamin",2006-01-01,200546,81,false,111573307,2023-10-28T11:00:21Z,"metal alternativo,post-grunge,rock","Hollywood Records",0.392,0.964,10,-4.441,0,0.0644,0.0000713,0.0387,0.106,0.269,167.024,4
spotify:track:1p1nO35bbi4ZlQgjIA4oa4,"The Kill (Bury Me)","A Beautiful Lie","Thirty Seconds To Mars",2005-08-30,231533,64,false,111573307,2024-02-02T18:08:40Z,"","Virgin Records",0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,3
spotify:track:1pr9TZGOXeJUggIal1Wq3R,"Blind","Korn","Korn",1994-10-11,258266,80,false,111573307,2024-02-02T18:09:01Z,"nu metal,metal,rap metal,metal alternativo","Immortal/Epic",0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,4
spotify:track:7oGCVuPEyp6m6DhXkU5Pfs,"Without Me","Dark Sun","Dayseeker",2022-11-04,224800,69,true,111573307,2024-02-02T18:10:34Z,"metalcore,post-hardcore","Spinefarm",0.421,0.819,1,-3.928,0,0.0403,0.0145,0,0.0911,0.17,92.602,4
spotify:track:3voBp3LlT8uHeQJ1QNWr8K,"Redemption","III: Lost Chapter","Pentakill;Jorn;Noora Louhimo",2021-09-08,255666,0,false,111573307,2024-02-02T18:20:25Z,"power metal,rock noruego,hard rock,heavy metal,metal,rock finlandés,pop finlandés,iskelmä","Riot Games",0.359,0.993,9,-4.154,1,0.188,0.000381,0,0.102,0.294,176.911,4
spotify:track:5AeEoXX8et0BYkcp27Mj5Y,"Don't Speak","Death By Sexy","Eagles Of Death Metal",2006-07-01,167840,0,false,111573307,2024-02-02T18:33:31Z,"stoner rock,garage rock","20-20 Entertainment LLC",0.599,0.905,8,-3.804,1,0.118,0.00695,0.0142,0.663,0.638,136.748,4
spotify:track:43JngJ3vMsaTL8SiRwEYQp,"Too Old To Die Young","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Brother Dege",2012-01-01,223213,48,false,111573307,2024-02-02T18:33:48Z,"southern gothic,country blues,blues rock","Loma Vista",0.735,0.578,2,-6.329,0,0.0292,0.0477,0.00023,0.231,0.736,111.99,4
