Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2dCDC6FXz80njhDidJVkAx,"I Wish","Original Musiquarium","Stevie Wonder",1982-05-04,253746,0,false,111573307,2013-09-29T03:29:50Z,"motown,soul clásico,soul","Universal Music Group",0.828,0.746,10,-9.615,0,0.0595,0.116,0.0000604,0.0594,0.921,105.9,4
spotify:track:74yt57iOVeQZWXScUQu0pn,"I'll Be There","Songs About Love (UMGI Version)","The Jackson 5",2010-01-01,237346,0,false,111573307,2013-09-29T03:29:52Z,"motown,navidad","Universal Music Group",0.52,0.493,5,-8.052,1,0.0257,0.585,0.00000639,0.599,0.295,93.695,4
spotify:track:36ELpqVAiCgJSOJdEpdQoc,"Here Comes the Hotstepper","100 Hits of the '90s","iNi Kamoze",2010-02-26,249066,0,false,111573307,2013-09-29T03:30:16Z,"reggae,roots reggae","Sony Music Entertainment",0.882,0.456,7,-9.163,1,0.188,0.0178,0.000186,0.127,0.452,100.362,4
spotify:track:0kwENjv9F98MZLPEN3gCQT,"Gonna Make You Sweat (Everybody Dance Now)","100 Hits of the '90s","C & C Music Factory;Freedom Williams",2010-02-26,243800,0,false,111573307,2013-09-29T03:30:32Z,"hip house","Sony Music Entertainment",0.561,0.789,6,-9.134,1,0.0952,0.00217,0.446,0.194,0.796,112.815,4
spotify:track:6ay1tA7aQqWY4YcuZnYYkp,"Get Down On It - Single Version","Cool - Funk","Kool & The Gang",2009-01-01,213293,30,false,111573307,2013-09-29T03:30:36Z,"disco,funk","Universal Music Group International",0.83,0.618,7,-6.981,1,0.0499,0.154,0.0000263,0.0341,0.972,110.893,4
spotify:track:0RWqE2ZaulvnN1i40qIhDh,"Canned Heat","Synkronized","Jamiroquai",1999-06-08,331760,2,false,111573307,2013-09-29T03:30:56Z,"acid jazz","S2",0.7,0.865,9,-5.827,0,0.133,0.0136,0.0000756,0.0718,0.78,128.04,4
spotify:track:1Rvl8qsKJurfFTyWLBI9ib,"Baby, I Love Your Way","The Best of Big Mountain","Big Mountain",1999-01-01,249520,75,false,111573307,2013-09-29T03:31:03Z,"reggae","Giant",0.651,0.747,1,-7.269,0,0.0699,0.0528,0,0.207,0.776,147.518,4
spotify:track:4Y35EUCGm3nD2OdgvGzhgP,"One Love / People Get Ready - Extended Version","Legend (Rarities Edition)","Bob Marley & The Wailers",2010-06-14,420040,0,false,111573307,2013-09-29T03:31:49Z,"reggae,roots reggae","The Island Def Jam Music Group",0.801,0.606,10,-9.395,1,0.125,0.193,0.000691,0.0531,0.905,78.086,4
spotify:track:7DJsL4jyXA39GDiHFQYQ0t,"Mess Around","Ray Charles (aka: Hallelujah, I Love Her So)","Ray Charles",1957-01-01,160226,63,false,111573307,2013-09-29T03:31:53Z,"soul,soul blues,soul clásico,vocal jazz,jazz","Rhino Atlantic",0.565,0.962,8,-2.981,1,0.064,0.437,0,0.056,0.906,148.808,4
spotify:track:0651FOAfvX33QIjpYL4F95,"My Girl","Favorites","The Temptations",2008-01-01,163000,0,false,111573307,2013-09-29T03:31:58Z,"motown,soul clásico,soul","Universal Music Group",0.575,0.545,0,-6.177,1,0.0341,0.547,0,0.116,0.676,104.664,4
spotify:track:5GYcaVfaFBHe2gzA6Oybgj,"Me and Mrs. Jones","R&B: From Doo-Wop To Hip-Hop","Billy Paul",1999-10-08,285293,50,false,111573307,2013-09-29T03:32:03Z,"sonido filadelfia,soul clásico,soul,motown","Sony Music Entertainment",0.416,0.404,0,-14.133,0,0.0373,0.479,0.000105,0.056,0.413,100.423,1
spotify:track:0GfkQQtDoI4K8A4TdQR1oe,"Long Tall Sally","Specialty Profiles: Lloyd Price (With Bonus Disc)","Little Richard",2006-01-01,131746,0,false,111573307,2013-09-29T03:32:09Z,"rockabilly,rock and roll,doo-wop,boogie-woogie","Concord Records",0.402,0.753,5,-5.929,1,0.119,0.776,0,0.184,0.823,185.509,4
spotify:track:00chLpzhgVjxs1zKC9UScL,"Poison","Gold","Bell Biv DeVoe",2005-01-01,262466,0,false,111573307,2013-09-29T03:33:19Z,"new jack swing","Universal Music",0.845,0.652,6,-7.504,0,0.216,0.00432,0.00723,0.489,0.65,111.904,4
spotify:track:4kjgGgDbNN4nR3OZYuRkUe,"All Night Long (All Night)","The Definitive Collection (International 2CD Version)","Lionel Richie",2003-01-01,260826,1,false,111573307,2013-09-29T03:36:25Z,"motown","Universal Music Group",0.728,0.556,1,-12.888,1,0.0472,0.136,0.00298,0.0455,0.805,108.81,4
spotify:track:56H98l4uinRifnTH8e308N,"Ch-Check It Out","To The 5 Boroughs","Beastie Boys",2004-01-01,192426,57,true,111573307,2013-09-29T03:38:39Z,"rap rock,hip hop old school,hip hop de la costa este,hip hop","Capitol Records",0.795,0.899,1,-7.02,1,0.292,0.0766,0,0.0852,0.694,115.062,4
spotify:track:3WMbD1OyfKuwWDWMNbPQ4g,"Daddy Cool","Take The Heat Off Me","Boney M.",1976,208600,79,false,111573307,2013-09-29T03:39:27Z,"disco","MCI",0.763,0.777,5,-6.932,0,0.0364,0.281,0.79,0.134,0.929,124.431,4
spotify:track:6VBy3FLlKZOWV85xmAXmr8,"Get Down Tonight - Edit","The Best of KC & the Sunshine Band","KC & The Sunshine Band",1990-09-10,191493,51,false,111573307,2013-09-29T03:40:27Z,"disco","Parlophone UK",0.655,0.889,10,-7.667,1,0.0332,0.0937,0.0000685,0.374,0.88,112.745,4
spotify:track:1E3BZjG5SDMy0dYANdbc3u,"Get Up Offa That Thing","James Brown Vol 2. - Universal Masters","James Brown",2003-02-27,251066,0,false,111573307,2013-09-29T03:40:33Z,"funk,soul,motown,soul clásico","Universal Music Ltd.",0.852,0.682,2,-10.041,1,0.404,0.181,0,0.934,0.763,117.959,4
