Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7A0piuknKPVbFtf9gxI6le,"Emmenez Moi","Platinum Charles Aznavour","Charles Aznavour",2006-11-24,212200,0,false,111573307,2013-09-29T02:57:18Z,"chanson,variété francesa,jazz francés","Parlophone France",0.353,0.458,9,-10.235,0,0.0351,0.599,0,0.801,0.619,107.231,3
spotify:track:5oIm24djCmqNiIhsnyXLRZ,"Je M'voyais Déjà","Platinum Charles Aznavour","Charles Aznavour",2006-11-24,203066,0,false,111573307,2013-09-29T02:57:21Z,"chanson,variété francesa,jazz francés","Parlophone France",0.568,0.357,7,-13.204,1,0.196,0.705,0,0.165,0.918,131.099,4
spotify:track:2nwCO1PqpvyoFIvq3Vrj8N,"These Boots Are Made For Walkin'","Boots","Nancy Sinatra",1966-03,166008,1,false,111573307,2013-09-29T02:58:13Z,"","Boots Enterprises, Inc.",0.74,0.392,9,-11.996,1,0.0824,0.483,0.00000111,0.0965,0.387,82.742,4
spotify:track:1IRZwD3r9VOehOR8rGeV3Y,"Island In The Sun","Smallville: The Talon Mix","Weezer",2003-02-25,200666,0,false,111573307,2013-09-29T02:58:28Z,"rock alternativo","Atlantic Records/ATG",0.647,0.805,4,-6.269,0,0.0279,0.00789,0.00211,0.168,0.707,114.638,4
spotify:track:6Lphpr9Z6H282Sguw0dUWa,"Le Freak - Edit","Les Plus Grands Success De Chic - Chic's Greatest Hits","CHIC",2005-11-22,215693,65,false,111573307,2013-09-29T02:58:35Z,"disco,funk","Rhino Atlantic",0.832,0.553,7,-13.705,1,0.0487,0.0422,0.00356,0.249,0.89,119.825,4
spotify:track:1RW8p0NIkQcn81fA8wfMDd,"Livin' In A New World","Game Theory","The Roots;John-John",2006-08-29,107733,0,true,111573307,2013-09-29T02:58:38Z,"jazz rap,hip hop de la costa este,hip hop","Def Jam Recordings",0.689,0.58,11,-7,1,0.146,0.0905,0.0261,0.107,0.44,87.492,4
spotify:track:3YMZI5CAscPu0soWvcr6wp,"Dickes B (feat. Black Kappa)","Next!","Seeed;Black Kappa",2006-06-16,284906,0,false,111573307,2013-09-29T02:58:40Z,"pop alemán","WM Germany",0.643,0.794,7,-5.958,1,0.417,0.133,0,0.709,0.513,97.753,4
spotify:track:2ptQPuF6zfrtIKWCQlS1j7,"Celui","Celui","Colonel Reyel",2010,200438,49,false,111573307,2013-09-29T03:01:27Z,"","Play On",0.666,0.629,4,-7.197,0,0.125,0.35,0,0.493,0.762,92.985,4
spotify:track:17nFSc5cJ3AHKt7qsGFtsz,"Tutti Frutti","The Essential Little Richard (Remastered)","Little Richard",1985-01-01,144626,0,false,111573307,2013-09-29T03:03:38Z,"rockabilly,rock and roll,doo-wop,boogie-woogie","Universal Music Ltd.",0.498,0.55,5,-8.161,1,0.0722,0.746,0,0.0506,0.962,184.246,4
spotify:track:6N3Wc11mXiJUjcIvc0xzpn,"Money (That's What I Want) - Single Version / Mono","True Motown / Spectrum 3 CD Set","Barrett Strong",2006-01-01,156546,0,false,111573307,2013-09-29T03:04:14Z,"motown,northern soul,soul clásico","Universal Music",0.694,0.73,5,-8.626,1,0.0329,0.193,0,0.145,0.965,133.359,4
spotify:track:0yp6jw6F0LNnjbxLejWaPK,"La Vida Es Un Carnaval","Amores Perros (Soundtrack)","Celia Cruz",2000-01-01,276040,0,false,111573307,2013-09-29T03:04:17Z,"salsa,son cubano,bolero,chachachá,merengue,mambo,latina,latin dance,jazz latino","Surco",0.817,0.76,0,-5.06,0,0.0594,0.483,0.00215,0.312,0.849,104.014,4
spotify:track:5c1xei48JNZsGFmZld55qr,"Lady (Hear Me Tonight)","Fama Classic","Modjo",2008-01-01,305253,0,false,111573307,2013-09-29T03:04:24Z,"house francés,disco house","Universal Music Spain S.L.",0.722,0.807,6,-5.944,1,0.0372,0.00716,0.0253,0.0581,0.85,126.019,4
spotify:track:0RWqE2ZaulvnN1i40qIhDh,"Canned Heat","Synkronized","Jamiroquai",1999-06-08,331760,2,false,111573307,2013-09-29T03:04:27Z,"acid jazz","S2",0.7,0.865,9,-5.827,0,0.133,0.0136,0.0000756,0.0718,0.78,128.04,4
spotify:track:6mXp2JiILngDsyUB4LSKRM,"L'auto-stoppeuse","Faites vous des amis","LES ESCROCS",1994-01-01,200840,8,false,111573307,2013-09-29T03:04:30Z,"jazz francés","Big Thumb Records",0.707,0.68,7,-6.492,0,0.0919,0.18,0,0.0416,0.876,116.12,4
spotify:track:1WMPCPk9GEsHgsDmXVGdEL,"J'ai laissé","J'ai laissé","Christophe Maé",2010-02-15,220253,36,false,111573307,2013-09-29T03:04:35Z,"variété francesa,chanson,pop francés","Warner (France)",0.754,0.5,1,-7.133,1,0.0514,0.392,0,0.425,0.3,96.026,4
spotify:track:4E8hgGDOwG5CpiEke6qZMT,"On s'attache","Mon paradis","Christophe Maé",2007-03-19,191506,65,false,111573307,2013-09-29T03:04:38Z,"variété francesa,chanson,pop francés","Warner (France)",0.789,0.71,8,-5.815,1,0.0432,0.409,0.00000363,0.246,0.687,100.014,4
spotify:track:53t0aD0Suwofba0q4aY0B3,"Good Man","Stone Rollin'","Raphael Saadiq",2011-04-25,225213,40,false,111573307,2013-09-29T03:05:02Z,"neo soul,soul,retro soul","Columbia",0.498,0.636,4,-5.327,1,0.0406,0.0714,0.000383,0.139,0.38,77.974,4
spotify:track:2t9d54bSoDAiqruSsHTAQN,"Faith","Faith (George Michael)","Beto Cuevas",2010-12-24,160052,13,false,111573307,2013-09-29T03:05:20Z,"rock latino,rock en español","Pop Art",0.854,0.744,4,-5.449,1,0.16,0.0031,0.0000194,0.0909,0.863,95.852,4
spotify:track:6ajyEEzWZbw8ycDcJAN099,"Cupid's Chokehold / Breakfast in America - Radio Mix","Cupid's Chokehold / Breakfast in America","Gym Class Heroes",2007-01-02,237173,55,false,111573307,2013-09-29T03:06:18Z,"","Decaydance/Fueled By Ramen/ATL",0.584,0.681,1,-5.084,0,0.0781,0.495,0,0.289,0.821,79.702,4
spotify:track:4QBrx05HrLnohYaS1cPGHO,"Volvera","Zapatillas","El Canto Del Loco",2005,229746,64,false,111573307,2013-09-29T03:07:40Z,"","Ariola",0.568,0.892,1,-3.091,1,0.0464,0.0111,0,0.379,0.783,126.02,4
spotify:track:14EuA4iqmkT40PD7JC6zk7,"She's A Cutie","Circus","Jeremy Harding;Nigel Staff;Mr. Vegas",2010-08-31,188727,0,false,111573307,2013-09-29T03:09:47Z,"riddim,dancehall,ragga,reggae,soca,azonto","2 Hard Music",0.834,0.723,10,-4.521,0,0.299,0.0121,0,0.0422,0.899,109.867,4
spotify:track:61xvgZVz1DiR628nmGtsZH,"She's Got Her Ticket","Tracy Chapman","Tracy Chapman",1988-04-05,234506,56,false,111573307,2013-09-29T03:12:15Z,"","Elektra Records",0.765,0.486,7,-13.819,1,0.0469,0.0745,0.00000989,0.282,0.856,87.054,4
spotify:track:6Mn8V7yVkrzBmXo5qGYBKB,"(I Like) The Way You Love Me","Michael","Michael Jackson",2010-12-10,273800,0,false,111573307,2013-09-29T03:12:57Z,"","Epic",0.628,0.668,0,-4.268,1,0.0279,0.314,0.0000291,0.228,0.507,95.008,4
spotify:track:2CVqF1sLhwut4NiZxzNUnC,"Sweet Dreams (Are Made of This)","The Best Of The 80's","Eurythmics;Annie Lennox;Dave Stewart",2007-12-10,211626,50,false,111573307,2013-09-29T03:13:07Z,"new wave,synthpop","Sony BMG Music Entertainment",0.705,0.936,8,-3.111,1,0.0502,0.0437,0.000113,0.309,0.659,125.553,4
spotify:track:36ELpqVAiCgJSOJdEpdQoc,"Here Comes the Hotstepper","100 Hits of the '90s","iNi Kamoze",2010-02-26,249066,0,false,111573307,2013-09-29T03:13:36Z,"reggae,roots reggae","Sony Music Entertainment",0.882,0.456,7,-9.163,1,0.188,0.0178,0.000186,0.127,0.452,100.362,4
spotify:track:0kwENjv9F98MZLPEN3gCQT,"Gonna Make You Sweat (Everybody Dance Now)","100 Hits of the '90s","C & C Music Factory;Freedom Williams",2010-02-26,243800,0,false,111573307,2013-09-29T03:14:18Z,"hip house","Sony Music Entertainment",0.561,0.789,6,-9.134,1,0.0952,0.00217,0.446,0.194,0.796,112.815,4
spotify:track:7c70rPhzT0G8Jlw2keTDLx,"Mashitup","Ricothentik","Rico Pupa",2000-01-01,232400,0,false,111573307,2013-09-29T03:14:32Z,"ragga","Universal Music Division Label Panthéon",0.81,0.777,10,-5.452,0,0.176,0.0348,0.0000144,0.0589,0.851,98.027,4
spotify:track:5ZKY87KDTsKoKwEVbStW1p,"Candela","Buena Vista Social Club","Buena Vista Social Club",1997-09-16,329200,0,false,111573307,2013-09-29T03:16:11Z,"son cubano,jazz latino,jazz afrocubano,latina,bolero","World Circuit",0.496,0.623,9,-12.628,1,0.0375,0.747,0.00015,0.291,0.849,99.549,4
spotify:track:7ccxwuSgkRF2ONdDA9sBZD,"You've Got A Friend","Rhino Hi-Five: James Taylor","James Taylor",2005-10-18,270466,0,false,111573307,2013-09-29T03:16:28Z,"folk rock,cantautores,rock suave","Rhino/Warner Bros.",0.695,0.192,9,-19.336,1,0.0303,0.731,0.00707,0.0995,0.464,92.015,4
spotify:track:2dCDC6FXz80njhDidJVkAx,"I Wish","Original Musiquarium","Stevie Wonder",1982-05-04,253746,0,false,111573307,2013-09-29T03:22:22Z,"motown,soul clásico,soul","Universal Music Group",0.828,0.746,10,-9.615,0,0.0595,0.116,0.0000604,0.0594,0.921,105.9,4
spotify:track:74yt57iOVeQZWXScUQu0pn,"I'll Be There","Songs About Love (UMGI Version)","The Jackson 5",2010-01-01,237346,0,false,111573307,2013-09-29T03:22:33Z,"motown,navidad","Universal Music Group",0.52,0.493,5,-8.052,1,0.0257,0.585,0.00000639,0.599,0.295,93.695,4
spotify:track:1H6S9OkozTNvcASUX4Bfgb,"Liberation (with Cee-Lo)","Aquemini","Outkast;CeeLo Green",1998-09-29,526372,48,true,111573307,2013-09-29T03:25:22Z,"hip hop sureño americano,hip hop","Arista/LaFace Records",0.66,0.63,11,-9.615,1,0.147,0.0841,0.0000585,0.0819,0.59,157.596,4
spotify:track:6xb2e7jrlWH7jthhpPOKfI,"Oops (Oh My)","The Ultimate Contemporary R&B and Neo-Soul Collection Volume 1","The Hit Co.",2011-01-01,239720,0,false,111573307,2013-09-29T03:27:28Z,"","Planet Music",0.738,0.397,7,-12.227,0,0.114,0.254,0.0000483,0.0822,0.778,160.019,4
spotify:track:4Jqubm2gop4wYdXjJzUvwy,"Oye Como Va - Album Verision","Jingo: The Santana Collection","Santana",2007,254266,0,false,111573307,2013-09-29T03:32:13Z,"","SONY BMG Catalog",0.734,0.468,7,-10.498,1,0.0432,0.402,0.0225,0.161,0.96,128.48,4
spotify:track:1h6qG2hBGxL9yUNjeUb4SU,"Peaches (feat. Sleepy Brown & Scar)","Idlewild","Outkast;Sleepy Brown;Scar",2006-08-22,190813,29,true,111573307,2013-09-29T03:32:24Z,"hip hop sureño americano,hip hop","LaFace Records",0.853,0.71,1,-7.313,0,0.191,0.319,0,0.064,0.583,107.033,4
spotify:track:6BYVAEPmqWVUSqtrQpvLTT,"Phoenix","LONG.LIVE.A$AP (Deluxe Version)","A$AP Rocky",2013-01-11,233880,0,true,111573307,2013-09-29T03:32:30Z,"rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.65,0.508,9,-11.227,0,0.135,0.577,0.00372,0.0792,0.504,143.96,4
spotify:track:0UZwQPdxHeBQQf67rrmsWJ,"Rockit","Work It Out!","Herbie Hancock",2010-12-17,231866,0,false,111573307,2013-09-29T03:34:31Z,"jazz,jazz fusión,jazz funk,hard bop,cool jazz","Sony Music UK",0.87,0.893,10,-10.028,0,0.083,0.0397,0.712,0.0786,0.816,113.02,4
spotify:track:4iImxqMlF3CeNRwKKua9jn,"537 C U B A","A Lo Cubano","Orishas",1999,264173,60,false,111573307,2013-09-29T03:35:51Z,"hip hop latino,música alternativa latina,son cubano,latina","EMI France",0.859,0.709,10,-8.906,0,0.281,0.079,0.00000389,0.067,0.885,83.681,4
spotify:track:00OMaIm4VEsUcXad5Pf1Qe,"Behind the Wall","Tracy Chapman","Tracy Chapman",1988-04-05,109506,52,false,111573307,2013-09-29T03:37:39Z,"","Elektra Records",0.668,0.0505,5,-18.843,1,0.358,0.807,0,0.107,0.598,148.649,5
spotify:track:0KCwzRvFRkHnttIa7QYoY2,"La Puissance","Cessa Kiè La Vérité","Magic System",2005-06-24,247306,0,false,111573307,2013-09-29T03:37:55Z,"coupé décalé","Collective",0.742,0.8,0,-4.995,1,0.194,0.0225,0,0.119,0.476,94.891,4
spotify:track:7oVqbYLuql1XFKTpQQKn5s,"Crosstown Traffic","Experience Hendrix: The Best Of Jimi Hendrix","Jimi Hendrix",1997-09-16,139266,40,false,111573307,2013-09-29T03:39:22Z,"rock psicodélico,rock clásico,rock ácido,blues rock","Legacy Recordings",0.482,0.96,0,-5.269,0,0.126,0.254,0.00000243,0.294,0.544,113.263,4
spotify:track:7GKogiySPMru5MYoOWM9KH,"Merry Christmas Mr. Lawrence","Playing The Piano","Ryuichi Sakamoto",2009-01-01,280800,0,false,111573307,2013-09-29T14:26:06Z,"música clásica japonesa,ambient","Decca",0.442,0.233,10,-20.208,0,0.0466,0.979,0.913,0.0895,0.12,98.621,4
spotify:track:6tmFjTWkPw866t636CagXy,"Toccata And Fugue In D Minor BWV 565","Piano","Johann Sebastian Bach",1992,511164,0,false,111573307,2013-09-29T14:26:09Z,"barroca,clásica,concerto,piano clásico,música antigua","Fabula Classica Ermitage Records",0.0935,0.182,2,-18.048,0,0.0382,0.579,0.176,0.195,0.136,173.973,4
spotify:track:1oUVGHyYCwlgmrOvZukn0g,"Hey Ya (solo version originally by OutKast)","The Tip Jar Volume 1","Obadiah Parker",2008-01-01,298848,0,false,111573307,2013-09-29T14:26:21Z,"","mudhutdigital.com",0.66,0.185,1,-13.662,0,0.0378,0.675,0,0.105,0.352,140.007,4
spotify:track:3ZlFUr0RBrUYYsmlcFvD0e,"Paper Planes","Paper Planes","M.I.A.",2008-10-13,205200,6,false,111573307,2013-09-29T14:31:01Z,"","XL Recordings",0.447,0.848,2,-6.175,1,0.222,0.033,0.0000746,0.65,0.485,172.253,4
spotify:track:3gP88Ld9OizOVpbBaDjidg,"Alright With Me","Kris Allen","Kris Allen",2009-11-16,187466,20,false,111573307,2013-09-29T14:35:42Z,"","Jive",0.476,0.918,11,-3.322,1,0.0378,0.00219,0,0.234,0.754,165.99,4
