Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2RC1O9YcPhkGs1GlwCZ3Yf,"Summer Madness","Sampled! (Jazz Club)","Kool & The Gang",2008-01-01,256786,0,false,,2012-11-04T14:01:55Z,"disco,funk","Verve",0.323,0.433,6,-12.268,0,0.034,0.00462,0.934,0.067,0.43,172.821,4
spotify:track:0PRzE8BoTGCQ8xcxJBvTOY,"How Can You Mend A Broken Heart","Al Green - Greatest Hits","Al Green",1987-02-13,384866,0,false,,2012-11-04T14:02:12Z,"soul,soul clásico,motown,soul blues","Hi Records",0.555,0.247,4,-14.257,1,0.041,0.522,0.00000366,0.0628,0.394,73.343,3
spotify:track:60elrmyXf6vtMqxHKSTjdn,"Yo (Excuse Me Miss)","Chris Brown","Chris Brown",2005,229040,0,false,,2012-11-04T14:03:14Z,"r&b","Jive",0.536,0.612,4,-5.847,1,0.272,0.119,0,0.209,0.57,86.768,4
spotify:track:7xz99lquzxyET2QZztic4g,"Anytime","Anytime","Brian McKnight",1997-09-23,275600,36,false,,2012-11-04T14:07:30Z,"quiet storm,r&b","Motown",0.743,0.455,6,-8.468,1,0.031,0.0168,0.000825,0.0324,0.51,129.829,4
spotify:track:0C80KJWvQWIGjbOiIurV1W,"Because Of You","Because Of You","Ne-Yo",2007-01-01,266840,1,false,,2012-11-04T14:08:36Z,"","Universal Music Group",0.81,0.538,0,-5.784,0,0.0356,0.528,0,0.0951,0.828,109.97,4
spotify:track:2shH36IytTvWBMMQi1KhNL,"You're The First, The Last, My Everything","Barry White - The Collection","Barry White",1988-01-01,206936,3,false,,2012-11-04T14:09:17Z,"disco,soul,soul clásico,quiet storm,sonido filadelfia,motown","Universal Music Group",0.633,0.542,5,-12.318,1,0.0316,0.000679,0.00434,0.0754,0.879,130.314,4
spotify:track:5xE7sFTlv2yrG9mmhDSpdq,"Come and Talk to Me - Remix","R&B Hits","Jodeci",2005-10-04,295386,62,false,,2012-11-04T14:11:16Z,"new jack swing,quiet storm,r&b","Bad Boy Records",0.72,0.657,11,-6.823,0,0.295,0.0262,0.00000233,0.209,0.657,172.168,4
spotify:track:5k3VjTwIsOjQ2woGz3Yx71,"Can't Help but Wait","Trey Day","Trey Songz",2007-10-01,206413,70,false,,2012-11-04T14:11:25Z,"r&b","Atlantic Records",0.699,0.699,8,-5.564,0,0.0737,0.358,0,0.0912,0.611,94.977,4
spotify:track:0C4C1ATNSxtBzaJGB54Msi,"Stickwitu","Ultimate R&B Love 2008 (International Version)","The Pussycat Dolls",2008-01-01,207853,0,false,,2012-11-04T14:11:37Z,"","Universal Music Ltd.",0.654,0.546,9,-6.44,1,0.0419,0.305,0,0.0638,0.424,79.986,4
spotify:track:0e7Nxs2OCNz5ZF51FwY28j,"Certified","Street Love","Lloyd",2007-01-01,271693,0,false,,2012-11-04T14:13:52Z,"r&b","Motown",0.747,0.491,11,-8.665,0,0.165,0.0642,0,0.0749,0.672,138.035,4
spotify:track:2OeSwSbwlmn9u8SsutfxPO,"Bump n' Grind","The R. In R&B Collection: Volume 1","R. Kelly",2003-09-11,255093,0,false,,2012-11-04T14:15:06Z,"r&b","Jive",0.677,0.525,4,-6.429,1,0.0344,0.126,0,0.296,0.664,130.218,4
