Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ccxwuSgkRF2ONdDA9sBZD,"You've Got A Friend","Rhino Hi-Five: James Taylor","James Taylor",2005-10-18,270466,0,false,,2011-10-16T13:03:08Z,"folk rock,cantautores,rock suave","Rhino/Warner Bros.",0.695,0.192,9,-19.336,1,0.0303,0.731,0.00707,0.0995,0.464,92.015,4
spotify:track:5zF2zGPkL6Ipsn9AfAK6RP,"This Love","Songs About Jane","Maroon 5",2002-06-25,206200,2,false,,2011-10-16T13:07:39Z,"pop","Universal Music Group",0.714,0.868,5,-4.596,0,0.0363,0.0551,0,0.0987,0.78,95.05,4
spotify:track:7jEUxosffRXOZ7rNSajygF,"Moves Like Jagger - Studio Recording From The Voice Performance","Moves Like Jagger","Maroon 5;Christina Aguilera",2011-06-22,201240,0,false,,2011-10-16T13:08:13Z,"pop","Universal Music Ltd.",0.723,0.758,9,-4.418,1,0.0506,0.0175,0,0.307,0.657,128.033,4
spotify:track:7ha7zYOryB0rpnMTa4S75U,"Got 2 Luv U (feat. Alexis Jordan)","Got 2 Luv U (feat. Alexis Jordan)","Sean Paul;Alexis Jordan",2011-07-19,196640,44,false,,2011-10-16T13:19:00Z,"dancehall","VP Records",0.605,0.793,7,-3.084,0,0.297,0.0825,0,0.124,0.647,184.032,4
spotify:track:4fIWQFkuHHOcjQFKibUGSo,"Lead the way","Lead the way","Carlos Jean",2010-11-21,260880,38,false,,2011-10-16T13:22:39Z,"chachachá","Novaemusik",0.691,0.722,11,-5.988,1,0.049,0.0252,0.00574,0.145,0.513,128.004,4
spotify:track:4LQ8EDq2ugRf5eZ0ib9D40,"Rise & Fall - feat. Sting","Greatest Hits (Standard DMD)","Craig David",2008-11-21,285906,0,false,,2011-10-16T13:52:09Z,"","WM UK",0.633,0.627,9,-6.225,1,0.0482,0.285,0,0.665,0.789,84.008,4
spotify:track:5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So","Ray Charles (aka: Hallelujah, I Love Her So)","Ray Charles",1957-01-01,155506,67,false,,2011-10-16T13:52:23Z,"soul,soul blues,soul clásico,vocal jazz,jazz","Rhino Atlantic",0.696,0.547,5,-5.954,0,0.169,0.792,0,0.155,0.623,73.203,4
spotify:track:3Cr8Os0nVRQbH0B4y7HFC4,"Please Stay","The Point Of It All","Anthony Hamilton",2008-12-16,302920,36,false,,2011-10-16T13:54:26Z,"neo soul,r&b,quiet storm","So So Def",0.649,0.448,6,-5.522,1,0.0428,0.179,0,0.102,0.124,132.445,4
spotify:track:3WMbD1OyfKuwWDWMNbPQ4g,"Daddy Cool","Take The Heat Off Me","Boney M.",1976,208600,79,false,,2011-10-16T13:55:04Z,"disco","MCI",0.763,0.777,5,-6.932,0,0.0364,0.281,0.79,0.134,0.929,124.431,4
spotify:track:5OrX4PR74Ttezdj5soO1BV,"Best Thing I Never Had","4","Beyoncé",2011-06-24,253746,34,false,,2011-10-16T13:58:48Z,"","Parkwood Entertainment/Columbia",0.545,0.649,6,-4.062,1,0.0324,0.143,0.0000157,0.0894,0.297,99.099,4
spotify:track:4VudDm3sB5hN1RcbI1LRJV,"Something That I Like","Transition (Deluxe Edition)","Ryan Leslie;Pusha T",2009-01-01,247600,0,false,,2011-10-16T14:00:28Z,"","Universal Music",0.655,0.695,8,-3.212,0,0.229,0.308,0,0.328,0.685,94.936,4
