Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:76MdMwQ4yiw1wIbA16sOrA,"Apologize","Shock Value Deluxe Version (International Version)","Timbaland;OneRepublic",2007-01-01,184400,0,false,111573307,2023-03-21T22:30:50Z,"","Universal Music Group",0.656,0.609,8,-6.025,1,0.0285,0.0357,0,0.0973,0.0872,118.036,4
spotify:track:7wqSzGeodspE3V6RBD5W8L,"See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa;Charlie Puth",2015-03-10,229525,4,false,111573307,2023-03-21T21:58:21Z,"pop suave","Atlantic Records",0.689,0.481,10,-7.503,1,0.0815,0.369,0.00000103,0.0649,0.283,80.025,4
spotify:track:4xP9rjS2iT1ANZPDKPTAgR,"Dream A Little Dream Of Me","ELLA & LOUIS The Very Best Of Ella Fitzgerald & Louis Armstrong","Ella Fitzgerald;Louis Armstrong",2011-01-06,187466,0,false,111573307,2023-03-21T21:31:49Z,"jazz,vocal jazz,swing,big band,navidad","Track Music",0.456,0.236,9,-9.372,0,0.0862,0.924,0,0.184,0.366,79.058,4
spotify:track:3c3b5daSKE7C83YLIOrSnX,"Don't Let Me Be Lonely Tonight","Greatest Hits","James Taylor",1976,155199,50,false,111573307,2023-03-21T21:32:04Z,"folk rock,cantautores,rock suave","Rhino/Warner Records",0.622,0.145,4,-18.549,0,0.0332,0.813,0.0808,0.148,0.335,75.139,4
spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,"Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,88,false,111573307,2023-03-21T22:16:32Z,"pop suave","Atlantic Records UK",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
spotify:track:3U4isOIWM3VvDubwSI3y7a,"All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269556,88,false,111573307,2023-03-21T22:19:29Z,"pop suave,neo soul","G.O.O.D. Music/Columbia",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
spotify:track:5uYVXA5FmZCdzYWQyEgHGP,"Let Me Love You - Acoustic Version","Go","Mario",2007-12-07,275173,0,false,111573307,2023-03-21T22:21:35Z,"r&b","J Records",0.461,0.363,7,-8.491,0,0.0343,0.716,0,0.103,0.447,88.746,4
spotify:track:78TKtlSLWK8pZAKKW3MyQL,"Say Something","Say Something","A Great Big World;Christina Aguilera",2013-11-04,229400,53,false,111573307,2023-03-21T22:21:58Z,"","Epic",0.453,0.146,2,-8.976,1,0.0343,0.867,0.00000349,0.0945,0.0915,137.905,3
spotify:track:3B7udSGy2PfgoCniMSb523,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""","The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition)","Ed Sheeran",2013-01-01,300840,2,false,111573307,2023-03-21T22:22:07Z,"pop suave","Decca (UMO)",0.581,0.0549,10,-20.514,0,0.0397,0.559,0,0.0718,0.234,152.037,4
spotify:track:1X3KpJAP3KRLr77EqAXDmg,"Circle of Life","Disney's Greatest Hits","Elton John",2014-01-29,291986,0,false,111573307,2023-03-21T22:23:57Z,"","EMI TV",0.291,0.498,10,-11.041,1,0.0346,0.283,0.235,0.106,0.13,160.42,4
spotify:track:0EUSbTvyZfo9QOcxunL9Ro,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007","Where the Light Is: John Mayer Live In Los Angeles","John Mayer",2008,345626,62,false,111573307,2023-03-21T22:25:34Z,"cantautores","Columbia",0.372,0.442,4,-11.488,1,0.0289,0.714,0.0000868,0.966,0.297,92.72,4
spotify:track:5VFzIzR8nACf9Bad4O73f6,"Hurt","The Legend Of Johnny Cash","Johnny Cash",2005-01-01,218586,0,false,111573307,2023-03-21T22:25:42Z,"country clásico,outlaw country,country","MDI / Johnny Cash GH",0.514,0.292,9,-11.768,0,0.0291,0.827,0.00223,0.0926,0.157,90.459,4
spotify:track:4tiFxWzzB1yGtvRyjSy27a,"Stars Can Frighten","Blood Red Skies","Chandeen",2011-11-11,225786,1,false,111573307,2023-03-21T22:26:24Z,"dark wave,neofolk,dream pop,música neoclásica","Kalinkaland",0.287,0.368,7,-11.186,1,0.0292,0.329,0.846,0.111,0.0791,67.238,4
