Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0S0kUPy5KGxzJjp3r27PiD,"Smoke Without Fire","The Hudson Affair: Keith Hudson And Friends","Keith Hudson",2004,121760,0,false,111573307,2013-07-02T16:15:51Z,"dub,roots reggae,rocksteady,reggae","Sanctuary Records Group Ltd.",0.87,0.497,2,-6.401,1,0.0409,0.258,0.0013,0.0679,0.741,86.725,4
spotify:track:0hczFKX7sKu5yILA0bcyTx,"Automatic Bang!","Ballin' & Stuntin' Vol. 9","The Game;Tyga",2012-09-02,220514,38,false,111573307,2013-07-02T16:16:56Z,"hip hop de la costa oeste,hip hop old school,rap gangster,hip hop","AMB Digital",0.849,0.693,10,-8.591,0,0.306,0.344,0.000434,0.128,0.489,92.5,4
spotify:track:7ohJuvtlKjKKaimEcvWfh1,"Baby Did A Bad Bad Thing - Remastered","Best Of Chris Isaak","Chris Isaak",2006-05-05,176000,40,false,111573307,2013-09-29T03:01:35Z,"","Wicked Game/Reprise",0.58,0.604,2,-6.904,1,0.09,0.389,0.00051,0.111,0.556,152.532,4
spotify:track:6NwbeybX6TDtXlpXvnUOZC,"Master Of Puppets","Master Of Puppets","Metallica",1986-03-03,516293,5,false,111573307,2013-09-29T03:02:10Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.538,0.872,4,-7.658,0,0.0361,0.000608,0.573,0.0946,0.593,105.102,4
spotify:track:13X42np3KJr0o2LkK1MG76,"My Love","FutureSex/LoveSounds","Justin Timberlake;T.I.",2006-09-12,276160,0,false,111573307,2013-09-29T03:02:21Z,"hip hop sureño americano","Jive",0.771,0.676,4,-6.018,0,0.223,0.285,0.00000449,0.546,0.804,119.997,4
spotify:track:1E3BZjG5SDMy0dYANdbc3u,"Get Up Offa That Thing","James Brown Vol 2. - Universal Masters","James Brown",2003-02-27,251066,0,false,111573307,2013-09-29T03:02:38Z,"funk,soul,motown,soul clásico","Universal Music Ltd.",0.852,0.682,2,-10.041,1,0.404,0.181,0,0.934,0.763,117.959,4
spotify:track:3Vr4AaUcphcIW8bJDHmj4N,"54-46 Was My Number","Repo Men","Toots & The Maytals",2010-05-31,190466,0,false,111573307,2013-09-29T03:03:41Z,"reggae,rocksteady,roots reggae,ska,dub,ragga","Silva Screen Records",0.698,0.457,7,-7.363,1,0.317,0.639,0.0000166,0.0645,0.389,157.566,4
spotify:track:65feEGMCz3TnkTYtvUsful,"Israelites","Reggae Legends","Desmond Dekker & The Aces",2008-06-20,154960,0,false,111573307,2013-09-29T03:03:52Z,"rocksteady,reggae,roots reggae,ska,dub","Digital Distribution Latvia",0.792,0.442,10,-9.146,1,0.047,0.195,0,0.0937,0.925,146.471,4
spotify:track:08XeyHmQfT0zo4PguIL0L4,"Me Name Jr. Gong","Mr. Marley","Damian Marley",1996,230693,0,false,111573307,2013-09-29T03:05:27Z,"reggae,ragga,roots reggae","Universal Records",0.812,0.656,6,-5.102,0,0.0788,0.134,0,0.0764,0.903,125.455,4
spotify:track:1scwOPRenO71iomcms70Fc,"I Was Made for Lovin' You","Sonic Boom","KISS",2009-09-09,280866,0,false,111573307,2013-09-29T03:05:58Z,"glam rock,glam metal,hard rock,rock,rock clásico","Roadrunner Records",0.656,0.864,3,-5.188,0,0.0399,0.021,0.0000153,0.0917,0.802,125.957,4
spotify:track:0CrX5heXNWjyGvQYnGpVEw,"Jamming - 12"" Single Version","Legend (Rarities Edition)","Bob Marley & The Wailers",2010-06-14,333400,0,false,111573307,2013-09-29T03:06:27Z,"reggae,roots reggae","The Island Def Jam Music Group",0.893,0.594,11,-7.507,0,0.0783,0.0223,0.0000999,0.252,0.775,123.188,4
spotify:track:4HuHoYjNcbGIHFpRVbRj2T,"Pump It","Pump It","Black Eyed Peas",2005-01-01,213613,47,true,111573307,2013-09-29T03:07:29Z,"","A&M",0.647,0.925,9,-3.157,1,0.176,0.00949,0,0.564,0.753,153.669,4
spotify:track:0aj2QKJvz6CePykmlTApiD,"Señorita","Justified","Justin Timberlake",2002-11-04,294866,69,false,111573307,2013-09-29T03:08:53Z,"","Jive",0.841,0.63,1,-5.356,1,0.0443,0.0725,0,0.0742,0.876,97.964,4
spotify:track:4Y35EUCGm3nD2OdgvGzhgP,"One Love / People Get Ready - Extended Version","Legend (Rarities Edition)","Bob Marley & The Wailers",2010-06-14,420040,0,false,111573307,2013-09-29T03:10:50Z,"reggae,roots reggae","The Island Def Jam Music Group",0.801,0.606,10,-9.395,1,0.125,0.193,0.000691,0.0531,0.905,78.086,4
spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,"Are You Gonna Go My Way","Are You Gonna Go My Way","Lenny Kravitz",1993-03-09,211933,77,false,111573307,2013-09-29T03:13:57Z,"","Virgin Records",0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269,4
spotify:track:4Zq1qPSAWT4lUvhPyf8wC4,"Run It! (feat. Juelz Santana)","Chris Brown","Chris Brown;Juelz Santana",2005,229866,0,false,111573307,2013-09-29T03:15:45Z,"r&b","Jive",0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,4
spotify:track:6281LdA2cVFwVM0xC5cqA8,"The Choice Is Yours","The Document II","Black Sheep",2003-06-23,211360,0,false,111573307,2013-09-29T03:18:49Z,"ska punk","Illicit Recordings",0.879,0.847,10,-6.76,0,0.243,0.0447,0,0.32,0.711,101.397,4
spotify:track:7DJsL4jyXA39GDiHFQYQ0t,"Mess Around","Ray Charles (aka: Hallelujah, I Love Her So)","Ray Charles",1957-01-01,160226,63,false,111573307,2013-09-29T03:26:08Z,"soul,soul blues,soul clásico,vocal jazz,jazz","Rhino Atlantic",0.565,0.962,8,-2.981,1,0.064,0.437,0,0.056,0.906,148.808,4
spotify:track:0fgVs2FjWxf60Gk8aaoECK,"More Than A Woman (feat. Calvin)","Mahogany Soul","Angie Stone;Calvin Richardson",2001-10-16,293640,49,false,111573307,2013-09-29T03:26:30Z,"neo soul,soul,zydeco","J Records",0.685,0.404,5,-7.784,0,0.121,0.445,0,0.116,0.473,131.846,4
spotify:track:6FZ7PtsSSd3DPjwsc5tsKu,"Excuse Me","Instant Vintage","Raphael Saadiq;Angie Stone;Calvin Richardson",2002-01-01,204106,0,false,111573307,2013-09-29T03:39:50Z,"neo soul,soul,retro soul,zydeco","Universal Records",0.892,0.377,7,-7.744,1,0.346,0.172,0,0.157,0.745,95.992,4
spotify:track:300RfAPZ57B0y6YYj9n6DN,"Superstition - Single Version","Number Ones","Stevie Wonder",2007-01-01,244826,3,false,111573307,2013-09-29T03:48:18Z,"motown,soul clásico,soul","Universal Music Group",0.642,0.735,8,-8.866,1,0.0806,0.0172,0.000733,0.0391,0.864,99.682,4
spotify:track:72nlhEcicoZTyLg39CSG9c,"The Truth","Ain't Nobody Worryin'","Anthony Hamilton",2005-12-13,275866,0,false,111573307,2013-09-29T14:25:47Z,"neo soul,r&b,quiet storm","So So Def",0.675,0.457,4,-6.563,0,0.0547,0.296,0.0000366,0.119,0.342,80.016,3
spotify:track:6N3Wc11mXiJUjcIvc0xzpn,"Money (That's What I Want) - Single Version / Mono","True Motown / Spectrum 3 CD Set","Barrett Strong",2006-01-01,156546,0,false,111573307,2013-09-29T14:38:35Z,"motown,northern soul,soul clásico","Universal Music",0.694,0.73,5,-8.626,1,0.0329,0.193,0,0.145,0.965,133.359,4
spotify:track:5CMjjywI0eZMixPeqNd75R,"Lose Yourself to Dance (feat. Pharrell Williams)","Random Access Memories","Daft Punk;Pharrell Williams",2013-05-20,353893,71,false,111573307,2013-09-29T14:38:58Z,"house francés,electrónica,electro","Columbia",0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4
spotify:track:55h7vJchibLdUkxdlX3fK7,"Treasure","Unorthodox Jukebox","Bruno Mars",2012-12-07,178560,85,true,111573307,2013-09-29T14:39:16Z,"","Atlantic Records",0.874,0.692,5,-5.28,0,0.0431,0.0412,0.0000724,0.324,0.937,116.017,4
spotify:track:7bchsHDaf9CRoe64ceIDYQ,"Fuck It (I Don't Want You Back)","F**k It","Eamon",2004-01-28,225626,48,true,111573307,2013-09-29T14:57:18Z,"","Jive",0.827,0.612,0,-6.347,0,0.0613,0.1,0.00000433,0.0461,0.516,68.505,4
spotify:track:4nciVjcjmqWPLYiyGs1BHb,"Girlfight - Remix; feat. Lil Jon, Da Brat, Remy Ma & Miss B; Explicit","Girlfight (Remix)","Brooke Valentine;Da Brat;Lil Jon;Remy Ma;Miss B.",2005-01-01,255520,37,true,111573307,2013-09-29T15:24:18Z,"g-funk,crunk","Virgin Records",0.523,0.689,1,-6.364,1,0.297,0.00189,0,0.383,0.392,100.03,4
spotify:track:3GzjG6Qah8cplpj5YAURLK,"Say Yeah","Say Yeah","Wiz Khalifa",2008-01-22,241613,56,true,111573307,2013-09-29T15:34:19Z,"","Warner Records",0.751,0.806,11,-6.1,1,0.0602,0.0236,0,0.134,0.685,142.015,4
spotify:track:5tV6M1qf6lwSxYunb5RsZS,"U Like My Swagga","Legendary","Rick Ross",2010-03-30,103733,0,true,111573307,2013-09-29T15:45:39Z,"hip hop sureño americano","Howie McDuffie Music Group",0.579,0.607,1,-10.167,1,0.362,0.271,0,0.675,0.74,85.337,4
