Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4S1KxKOfMg8SbH97TxYqPY,"Matatan - Remix","Matatan (Remix)","Kaleb Di Masi;ECKO;Cazzu;Brray;Alan Gomez;DJ Tao",2022-03-10,231680,48,true,111573307,2026-07-26T16:39:52Z,"rkt,turreo,trap argentino,trap latino,reggaetón,urbano latino,techengue,guaracha,cumbia","UMLE - Latino",0.883,0.782,0,-6.286,1,0.314,0.259,0,0.0737,0.637,86.034,4
spotify:track:6rA4eZRPZ9SjilOqiXv18I,"Ritmação da Putaria","Ritmação da Putaria","Mc Kitinho;DJ R7",2019-09-16,206811,38,true,111573307,2026-07-26T16:41:58Z,"funk brasileño","GR6 Music",0.69,0.771,6,-3.217,1,0.342,0.324,0.0000399,0.283,0.609,130.133,4
spotify:track:3vn1N7O8fyCu9YCFTANBvY,"Yele","Yele","DVTTY;9V",2023-02-23,136800,20,false,111573307,2026-07-26T16:56:56Z,"moombahton,dancehall,shatta","DVTTY",0.871,0.607,1,-4.658,1,0.266,0.414,0.205,0.107,0.378,99.942,4
spotify:track:1mWDj8f6j8wiENPyYymZVU,"Foge","juntos","Onhell;KARAN!",2024-09-13,169767,31,false,111573307,2026-07-26T16:59:13Z,"bass music,dubstep,funk bruxaria","Deadbeats Acquisition UMC",0.821,0.687,3,-5.724,1,0.116,0.109,0.000015,0.182,0.505,140.04,4
spotify:track:47trirgpaLmWk4Lqk3RrZk,"Dema Ga Ge Gi Go Gu","Disciplina (Puerto Rico Edition)","El Alfa;Bad Bunny",2018-02-09,218920,72,false,111573307,2026-07-26T17:00:52Z,"dembow,urbano latino,latina,reggaetón,trap latino","EL JEFE RECORDS LLC",0.667,0.906,8,-2.634,1,0.255,0.647,0.0048,0.235,0.455,119.945,4
spotify:track:1BIXs6CdkPRLytuqoXs6XN,"4K","4K","El Alfa;Darell;Noriel",2020-03-12,201500,81,false,111573307,2026-07-26T17:01:27Z,"dembow,urbano latino,latina,reggaetón,trap latino,trap","EL JEFE RECORDS LLC",0.918,0.893,3,-4.585,0,0.142,0.346,0.012,0.118,0.802,120.012,4
spotify:track:5hp9Mr70cN5K4bCFUEFlRA,"MAMI DURA","RIVIVAL CHAOS","RAHUL;YANDRIX",2024-01-24,127399,0,false,111573307,2026-07-26T17:03:41Z,"moombahton,shatta,dancehall,ragga","R A H U L",0.904,0.504,11,-7.622,1,0.207,0.00797,0.0243,0.0594,0.411,98.003,4
spotify:track:6ConL2W4eA29qy66IPAm0U,"ESMERALDA","ESMERALDA","Says'z;Bamby",2024-06-21,114407,51,true,111573307,2026-07-26T17:05:38Z,"shatta,kompa,zouk,r&b francés,pop urbaine,kizomba,dancehall,ragga","Play Two",0.754,0.552,1,-9.109,0,0.317,0.08,0.000059,0.0842,0.384,100.076,4
spotify:track:3Pd1MwrGRhEzjiO7njmlbi,"CHEGOU 3","CHEGOU 3","shonci;Mc Magrinho",2024-05-14,159456,1,true,111573307,2026-07-26T17:07:20Z,"phonk brasileño,rally house,phonk,funk de belo horizonte,funk brasileño,funk bruxaria","Boom.Records",0.929,0.849,5,-4.863,0,0.344,0.0751,0.00000499,0.0615,0.886,130.053,4
spotify:track:4qDJJtpkWQae89a2P7qb90,"Pineco","Pineco","X-Man;Natoxie",2021-02-16,120006,53,false,111573307,2026-07-26T17:13:17Z,"shatta,dancehall,zouk,kompa,ragga","TÔNÔP",0.919,0.693,6,-6.866,1,0.249,0.178,0,0.0935,0.618,94.042,4
