Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4srdbQniwvQcLNcPNEUIc9,"Son Of Man","Tarzan Original Soundtrack (Spanish Version)","Phil Collins",1999,166040,0,false,,2012-10-12T18:03:34Z,"rock suave","Disney Records (Europe)",0.481,0.882,2,-5.068,1,0.0407,0.0228,0.00022,0.152,0.718,141.721,4
spotify:track:71tkj3MPQLKGr6eiHA6eBB,"Another One Bites The Dust - 2011 Remaster","Greatest Hits (2011 Remaster)","Queen",1981-10-26,215333,0,false,,2012-10-12T18:03:57Z,"rock clásico,rock,glam rock","Queen Productions Ltd.",0.928,0.531,5,-6.52,0,0.161,0.0969,0.314,0.16,0.765,109.963,4
spotify:track:6bBwFPgVdWxuc4uWEyALCa,"I Say A Little Prayer","Definitive Soul: Aretha Franklin","Aretha Franklin",1985,214346,0,false,,2012-10-12T18:04:04Z,"soul,motown,soul clásico","Rhino",0.587,0.535,9,-7.792,1,0.0319,0.545,0,0.0782,0.536,133.178,4
spotify:track:6kcuYyyU2tPxGP3PDVWYJT,"Summer Paradise (feat. Sean Paul) - Single Version","Summer Paradise (feat. Sean Paul)","Simple Plan;Sean Paul",2012-02-21,234786,39,false,,2012-10-12T18:04:09Z,"pop punk,punk,emo,dancehall","Atlantic Records",0.421,0.822,2,-4.415,1,0.0542,0.0132,0,0.092,0.751,171.935,4
spotify:track:0PRzE8BoTGCQ8xcxJBvTOY,"How Can You Mend A Broken Heart","Al Green - Greatest Hits","Al Green",1987-02-13,384866,0,false,,2012-10-12T18:04:31Z,"soul,soul clásico,motown,soul blues","Hi Records",0.555,0.247,4,-14.257,1,0.041,0.522,0.00000366,0.0628,0.394,73.343,3
spotify:track:0aj2QKJvz6CePykmlTApiD,"Señorita","Justified","Justin Timberlake",2002-11-04,294866,69,false,,2012-10-12T18:04:40Z,"","Jive",0.841,0.63,1,-5.356,1,0.0443,0.0725,0,0.0742,0.876,97.964,4
spotify:track:5g7rz8nma2gAaEBHlvT68N,"Aicha","Aicha","Outlandish",2003-07-18,276760,38,false,,2012-10-12T18:04:42Z,"","RCA Records Label",0.745,0.636,11,-5.457,0,0.053,0.216,0.0000402,0.111,0.606,86.956,4
spotify:track:1ofPI08xqvajayCc3zQOOS,"Unchain My Heart","Ray Charles","Ray Charles",2007-07-01,167363,0,false,,2012-10-12T18:05:24Z,"soul,soul blues,soul clásico,vocal jazz,jazz","Tam-Tam Media",0.525,0.621,1,-7.146,0,0.0528,0.762,0,0.367,0.744,76.333,4
spotify:track:269TXy0nskEBvKXXAaK6tR,"Hits from the Bong","Playlist: The Very Best Of Cypress Hill","Cypress Hill",2008-06-17,161213,0,true,,2012-10-12T18:05:53Z,"hip hop de la costa oeste,hip hop old school,rap rock,hip hop","Columbia/Legacy",0.804,0.594,1,-12.676,1,0.192,0.00776,0.79,0.344,0.514,92.18,4
spotify:track:3WoF0QidrggYV482mOb7ye,"Glycerine","Sixteen Stone","Bush",1994-12-06,266506,0,false,,2012-10-12T18:06:54Z,"grunge,post-grunge","Round Hill Records",0.43,0.282,5,-14.22,1,0.0342,0.0581,0.00426,0.0959,0.0868,114.136,4
